"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,30,0.16,1000001,0,0,"gfmla","naive",0.684948199351456,0.030141769221617,0.0302879708691062
400,30,0.16,1000001,0,0,"gfmla","oracle",0.757451138622644,0.0275451443021054,0.0276871407595412
400,30,0.16,1000001,0,0,"gfmla","mccs",0.773703858485373,0.0348588833771749,0.0350573339017533
400,30,0.16,1000001,0,0,"ipw","naive",0.689725133295179,0.0456464264130833,0.0479602121501535
400,30,0.16,1000001,0,0,"ipw","oracle",0.790463427003089,0.0443875032059978,0.0469168909671065
400,30,0.16,1000001,0,0,"ipw","mccs",0.788887536745881,0.0545712671234802,0.0578220172332774
400,30,0.16,1000001,0,0,"dr","naive",0.703630443062917,0.034928457597733,0.0365719183836627
400,30,0.16,1000001,0,0,"dr","oracle",0.764308726061684,0.0298543986299759,0.0304965129473361
400,30,0.16,1000001,0,0,"dr","mccs",0.787233825023582,0.0402603150044448,0.0427274677880484
400,30,0.16,1000001,1,0,"gfmla","naive",0.684948199351456,0.030141769221617,0.0302879708691062
400,30,0.16,1000001,1,0,"gfmla","oracle",0.757451138622644,0.0275451443021054,0.0276871407595412
400,30,0.16,1000001,1,0,"gfmla","mccs",0.773703858485373,0.0348588833771749,0.0350573339017533
400,30,0.16,1000001,1,0,"ipw","naive",0.632068973581506,0.032039519608988,0.0325009186658437
400,30,0.16,1000001,1,0,"ipw","oracle",0.719344920380312,0.0295763340547785,0.030029675205943
400,30,0.16,1000001,1,0,"ipw","mccs",0.697584528482684,0.0356981087477449,0.0362336210511849
400,30,0.16,1000001,1,0,"dr","naive",0.696095420530234,0.032488446405689,0.0328028697069579
400,30,0.16,1000001,1,0,"dr","oracle",0.765222485640739,0.0283363183229097,0.0284288582538036
400,30,0.16,1000001,1,0,"dr","mccs",0.782335503930401,0.0370518917081277,0.0374945677489252
400,30,0.16,1000001,0,1,"gfmla","naive",0.64612735793065,0.0333438941903069,0.0336664986998185
400,30,0.16,1000001,0,1,"gfmla","oracle",0.727790033536444,0.033279582205198,0.0337212731380262
400,30,0.16,1000001,0,1,"gfmla","mccs",0.714692926147724,0.0370731138543118,0.0374635616478661
400,30,0.16,1000001,0,1,"ipw","naive",0.689725133418667,0.0456464263960837,0.0479602121313639
400,30,0.16,1000001,0,1,"ipw","oracle",0.790463427003089,0.044387503205984,0.0469168909670878
400,30,0.16,1000001,0,1,"ipw","mccs",0.788887536745881,0.0545712671234802,0.0578220172332774
400,30,0.16,1000001,0,1,"dr","naive",0.724820183880682,0.0479260911319758,0.0498028059841254
400,30,0.16,1000001,0,1,"dr","oracle",0.817135534892118,0.0481913152825843,0.0514005008662577
400,30,0.16,1000001,0,1,"dr","mccs",0.821036802653181,0.0573003575754935,0.0600128076000815
400,30,0.16,1000001,1,1,"gfmla","naive",0.64612735793065,0.0333438941903069,0.0336664986998185
400,30,0.16,1000001,1,1,"gfmla","oracle",0.727790033536444,0.033279582205198,0.0337212731380262
400,30,0.16,1000001,1,1,"gfmla","mccs",0.714692926147724,0.0370731138543118,0.0374635616478661
400,30,0.16,1000001,1,1,"ipw","naive",0.632068973160858,0.0320395196094128,0.0325009186666156
400,30,0.16,1000001,1,1,"ipw","oracle",0.719344920634774,0.0295763340497202,0.0300296752003066
400,30,0.16,1000001,1,1,"ipw","mccs",0.697584528681789,0.0356981087473925,0.0362336210506417
400,30,0.16,1000001,1,1,"dr","naive",0.647599709890375,0.0291180216886638,0.0293967265000964
400,30,0.16,1000001,1,1,"dr","oracle",0.727934636437795,0.0289784766829104,0.0292674207697409
400,30,0.16,1000001,1,1,"dr","mccs",0.713676435037296,0.0330474091042618,0.0333635286224091
2000,30,0.16,1000001,0,0,"gfmla","naive",0.664053465999699,0.0130109132243148,0.0130283101971502
2000,30,0.16,1000001,0,0,"gfmla","oracle",0.761091701468665,0.0131644507605741,0.0131841436394009
2000,30,0.16,1000001,0,0,"gfmla","mccs",0.75942046908738,0.0154883404184598,0.015512157260325
2000,30,0.16,1000001,0,0,"ipw","naive",0.64138459723618,0.0229080432196376,0.0230416913412439
2000,30,0.16,1000001,0,0,"ipw","oracle",0.696626569092083,0.0321448644853759,0.0324464373342787
2000,30,0.16,1000001,0,0,"ipw","mccs",0.732193011815194,0.0276642796729115,0.0278617143347021
