"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,2000001,0,0,"gfmla","naive",0.668039919935672,0.0140294110058414
2000,30,0.16,2000001,0,0,"gfmla","oracle",0.771410268868173,0.0132456514279511
2000,30,0.16,2000001,0,0,"gfmla","mccs",0.765787699617262,0.0165022311395144
2000,30,0.16,2000001,0,0,"ipw","naive",0.673289002925771,0.0205131774895789
2000,30,0.16,2000001,0,0,"ipw","oracle",0.792394689600722,0.0295749619552444
2000,30,0.16,2000001,0,0,"ipw","mccs",0.772912691245436,0.02476620397409
2000,30,0.16,2000001,0,0,"dr","naive",0.664938505561714,0.0154531587845074
2000,30,0.16,2000001,0,0,"dr","oracle",0.765707955352728,0.0147737298420671
2000,30,0.16,2000001,0,0,"dr","mccs",0.769345774657255,0.0206403485575701
2000,30,0.16,2000001,1,0,"gfmla","naive",0.668039919935672,0.0140294110058414
2000,30,0.16,2000001,1,0,"gfmla","oracle",0.771410268868173,0.0132456514279511
2000,30,0.16,2000001,1,0,"gfmla","mccs",0.765787699617262,0.0165022311395144
2000,30,0.16,2000001,1,0,"ipw","naive",0.635015580554287,0.0155863256015921
2000,30,0.16,2000001,1,0,"ipw","oracle",0.721508341759247,0.0173521158637166
2000,30,0.16,2000001,1,0,"ipw","mccs",0.716165517317096,0.0179319151752888
2000,30,0.16,2000001,1,0,"dr","naive",0.66761800655717,0.0144217665681673
2000,30,0.16,2000001,1,0,"dr","oracle",0.776192916690115,0.0135844487747177
2000,30,0.16,2000001,1,0,"dr","mccs",0.767824684415547,0.0176111011976768
2000,30,0.16,2000001,0,1,"gfmla","naive",0.618133335376899,0.0163557775969397
2000,30,0.16,2000001,0,1,"gfmla","oracle",0.701237632409394,0.016622679023784
2000,30,0.16,2000001,0,1,"gfmla","mccs",0.694430576309951,0.0184604159045409
2000,30,0.16,2000001,0,1,"ipw","naive",0.673289002925771,0.0205131774895789
2000,30,0.16,2000001,0,1,"ipw","oracle",0.792394689600722,0.0295749619552444
2000,30,0.16,2000001,0,1,"ipw","mccs",0.772912691245436,0.02476620397409
