"n","B","vare","seed","ps","out","method","type","est","se"
2000,30,0.16,1000001,0,0,"gfmla","naive",0.664053465999699,0.0130109132243148
2000,30,0.16,1000001,0,0,"gfmla","oracle",0.761091701468665,0.0131644507605741
2000,30,0.16,1000001,0,0,"gfmla","mccs",0.75942046908738,0.0154883404184598
2000,30,0.16,1000001,0,0,"ipw","naive",0.64138459723618,0.0229080432196376
2000,30,0.16,1000001,0,0,"ipw","oracle",0.696626569092083,0.0321448644853759
2000,30,0.16,1000001,0,0,"ipw","mccs",0.732193011815194,0.0276642796729115
2000,30,0.16,1000001,0,0,"dr","naive",0.659997744533848,0.0146463475777889
2000,30,0.16,1000001,0,0,"dr","oracle",0.752227430079606,0.0162397677272537
2000,30,0.16,1000001,0,0,"dr","mccs",0.75923527465893,0.0182260619839475
2000,30,0.16,1000001,1,0,"gfmla","naive",0.664053465999699,0.0130109132243148
2000,30,0.16,1000001,1,0,"gfmla","oracle",0.761091701468665,0.0131644507605741
2000,30,0.16,1000001,1,0,"gfmla","mccs",0.75942046908738,0.0154883404184598
2000,30,0.16,1000001,1,0,"ipw","naive",0.615155047749356,0.0174266631307859
2000,30,0.16,1000001,1,0,"ipw","oracle",0.688446471949164,0.0191093410529737
2000,30,0.16,1000001,1,0,"ipw","mccs",0.690871884914723,0.0205224074352571
2000,30,0.16,1000001,1,0,"dr","naive",0.661891804944254,0.0134961728546505
2000,30,0.16,1000001,1,0,"dr","oracle",0.759007504813269,0.0138600358981126
2000,30,0.16,1000001,1,0,"dr","mccs",0.757566193457169,0.0166782014483997
2000,30,0.16,1000001,0,1,"gfmla","naive",0.609574811025097,0.0152363047196976
2000,30,0.16,1000001,0,1,"gfmla","oracle",0.684913197244991,0.0159316275968782
2000,30,0.16,1000001,0,1,"gfmla","mccs",0.682150138003832,0.0173895225442427
2000,30,0.16,1000001,0,1,"ipw","naive",0.64138459723618,0.0229080432196376
2000,30,0.16,1000001,0,1,"ipw","oracle",0.696626569092083,0.0321448644853759
2000,30,0.16,1000001,0,1,"ipw","mccs",0.732193011815194,0.0276642796729115
2000,30,0.16,1000001,0,1,"dr","naive",0.64175068275181,0.0203415147742565
2000,30,0.16,1000001,0,1,"dr","oracle",0.706694245827306,0.0268227992695228
2000,30,0.16,1000001,0,1,"dr","mccs",0.731548910729866,0.0259257230523279
2000,30,0.16,1000001,1,1,"gfmla","naive",0.609574811025097,0.0152363047196976
2000,30,0.16,1000001,1,1,"gfmla","oracle",0.684913197244991,0.0159316275968782
2000,30,0.16,1000001,1,1,"gfmla","mccs",0.682150138003832,0.0173895225442427
2000,30,0.16,1000001,1,1,"ipw","naive",0.615155047749356,0.0174266631307859
2000,30,0.16,1000001,1,1,"ipw","oracle",0.688446471949164,0.0191093410529737
2000,30,0.16,1000001,1,1,"ipw","mccs",0.690871884914723,0.0205224074352571
2000,30,0.16,1000001,1,1,"dr","naive",0.60844665754077,0.0148615201880657
2000,30,0.16,1000001,1,1,"dr","oracle",0.685047050005738,0.0150413444510829
2000,30,0.16,1000001,1,1,"dr","mccs",0.682135666091241,0.0182267535738353
2000,30,0.16,1000002,0,0,"gfmla","naive",0.642826839742748,0.013463655153879
2000,30,0.16,1000002,0,0,"gfmla","oracle",0.733469420939653,0.012919196529136
2000,30,0.16,1000002,0,0,"gfmla","mccs",0.735198099373312,0.015911863420027
2000,30,0.16,1000002,0,0,"ipw","naive",0.674730970526852,0.0252920812514922
2000,30,0.16,1000002,0,0,"ipw","oracle",0.775923756924722,0.0287192643013254
2000,30,0.16,1000002,0,0,"ipw","mccs",0.77451045018848,0.0288032962991268
2000,30,0.16,1000002,0,0,"dr","naive",0.628995503587861,0.0158512000823636
2000,30,0.16,1000002,0,0,"dr","oracle",0.728323499467241,0.0142330589270111
2000,30,0.16,1000002,0,0,"dr","mccs",0.706790274454547,0.0255835122757922
2000,30,0.16,1000002,1,0,"gfmla","naive",0.642826839742748,0.013463655153879
2000,30,0.16,1000002,1,0,"gfmla","oracle",0.733469420939653,0.012919196529136
2000,30,0.16,1000002,1,0,"gfmla","mccs",0.735198099373312,0.015911863420027
2000,30,0.16,1000002,1,0,"ipw","naive",0.621762806180171,0.01560695313824
2000,30,0.16,1000002,1,0,"ipw","oracle",0.694283050817368,0.0164605239614229
2000,30,0.16,1000002,1,0,"ipw","mccs",0.703341815411361,0.0180473783865061
2000,30,0.16,1000002,1,0,"dr","naive",0.648836937875518,0.0137527268760375
2000,30,0.16,1000002,1,0,"dr","oracle",0.737781593210967,0.0131930964932767
2000,30,0.16,1000002,1,0,"dr","mccs",0.744779477889651,0.0167824281048692
2000,30,0.16,1000002,0,1,"gfmla","naive",0.6156073569503,0.0160194475501117
2000,30,0.16,1000002,0,1,"gfmla","oracle",0.689629084743684,0.0165241203611165
2000,30,0.16,1000002,0,1,"gfmla","mccs",0.694424710090602,0.0180052110270425
2000,30,0.16,1000002,0,1,"ipw","naive",0.674730970526852,0.0252920812514922
2000,30,0.16,1000002,0,1,"ipw","oracle",0.775923756924722,0.0287192643013254
2000,30,0.16,1000002,0,1,"ipw","mccs",0.77451045018848,0.0288032962991268
2000,30,0.16,1000002,0,1,"dr","naive",0.677741525456452,0.0222700681012183
2000,30,0.16,1000002,0,1,"dr","oracle",0.775808089711668,0.0243814780893871
2000,30,0.16,1000002,0,1,"dr","mccs",0.781035426991865,0.0240952484801089
2000,30,0.16,1000002,1,1,"gfmla","naive",0.6156073569503,0.0160194475501117
2000,30,0.16,1000002,1,1,"gfmla","oracle",0.689629084743684,0.0165241203611165
2000,30,0.16,1000002,1,1,"gfmla","mccs",0.694424710090602,0.0180052110270425
2000,30,0.16,1000002,1,1,"ipw","naive",0.621762806180171,0.01560695313824
2000,30,0.16,1000002,1,1,"ipw","oracle",0.694283050817368,0.0164605239614229
2000,30,0.16,1000002,1,1,"ipw","mccs",0.703341815411361,0.0180473783865061
2000,30,0.16,1000002,1,1,"dr","naive",0.627330719586134,0.0156143405420523
2000,30,0.16,1000002,1,1,"dr","oracle",0.700459788111138,0.0158933147655871
2000,30,0.16,1000002,1,1,"dr","mccs",0.713412326344038,0.0184108573548192
2000,30,0.16,1000003,0,0,"gfmla","naive",0.636383838752811,0.0132347723215487
2000,30,0.16,1000003,0,0,"gfmla","oracle",0.73759596666624,0.0133191818137516
2000,30,0.16,1000003,0,0,"gfmla","mccs",0.72697555717051,0.0155227344364486
2000,30,0.16,1000003,0,0,"ipw","naive",0.633544738739327,0.0257124896274016
2000,30,0.16,1000003,0,0,"ipw","oracle",0.725270532665609,0.0266742339769278
2000,30,0.16,1000003,0,0,"ipw","mccs",0.721391855594073,0.0329963732055831
2000,30,0.16,1000003,0,0,"dr","naive",0.631055410729513,0.0151303788842962
2000,30,0.16,1000003,0,0,"dr","oracle",0.728862124700151,0.016149212559445
2000,30,0.16,1000003,0,0,"dr","mccs",0.732201287594484,0.0181446941353572
2000,30,0.16,1000003,1,0,"gfmla","naive",0.636383838752811,0.0132347723215487
2000,30,0.16,1000003,1,0,"gfmla","oracle",0.73759596666624,0.0133191818137516
2000,30,0.16,1000003,1,0,"gfmla","mccs",0.72697555717051,0.0155227344364486
2000,30,0.16,1000003,1,0,"ipw","naive",0.598293880841246,0.0175703190854991
2000,30,0.16,1000003,1,0,"ipw","oracle",0.667187068680587,0.0226765176924978
2000,30,0.16,1000003,1,0,"ipw","mccs",0.672838827034621,0.0210539169161201
2000,30,0.16,1000003,1,0,"dr","naive",0.630992460304599,0.0138917817256522
2000,30,0.16,1000003,1,0,"dr","oracle",0.724369944033441,0.0167204086140657
2000,30,0.16,1000003,1,0,"dr","mccs",0.723134859053794,0.0169071008196151
2000,30,0.16,1000003,0,1,"gfmla","naive",0.602300940504294,0.0162466386065582
2000,30,0.16,1000003,0,1,"gfmla","oracle",0.681595748825096,0.0170901617360401
2000,30,0.16,1000003,0,1,"gfmla","mccs",0.677123459663173,0.0181632313802083
2000,30,0.16,1000003,0,1,"ipw","naive",0.633544738830581,0.025712489627315
2000,30,0.16,1000003,0,1,"ipw","oracle",0.725270532665609,0.0266742339769278
2000,30,0.16,1000003,0,1,"ipw","mccs",0.721391855594073,0.0329963732055831
2000,30,0.16,1000003,0,1,"dr","naive",0.637205090059098,0.0216328622788111
2000,30,0.16,1000003,0,1,"dr","oracle",0.733129158464652,0.0228016255751907
2000,30,0.16,1000003,0,1,"dr","mccs",0.734796132626063,0.0275478416807979
