"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,30,0.16,9000001,0,0,"gfmla","naive",0.660624617664559,0.0311898198226986,0.0314250964436153
400,30,0.16,9000001,0,0,"gfmla","oracle",0.715333377371639,0.0297823146267991,0.0299257268939162
400,30,0.16,9000001,0,0,"gfmla","mccs",0.768925016368671,0.038186465049582,0.0386319939781414
400,30,0.16,9000001,0,0,"ipw","naive",0.643530335849284,0.0458115913176716,0.0479980936751524
400,30,0.16,9000001,0,0,"ipw","oracle",0.717970193345369,0.0435745593884257,0.0448900218425368
400,30,0.16,9000001,0,0,"ipw","mccs",0.741713325069217,0.0563440517046334,0.0598590708607546
400,30,0.16,9000001,0,0,"dr","naive",0.637495969066867,0.0320233861528682,0.0331574645490434
400,30,0.16,9000001,0,0,"dr","oracle",0.713182256303456,0.0318976665892107,0.032118130436673
400,30,0.16,9000001,0,0,"dr","mccs",0.733078883948586,0.0419971478704761,0.0486096598702752
400,30,0.16,9000001,1,0,"gfmla","naive",0.660624617664559,0.0311898198226986,0.0314250964436153
400,30,0.16,9000001,1,0,"gfmla","oracle",0.715333377371639,0.0297823146267991,0.0299257268939162
400,30,0.16,9000001,1,0,"gfmla","mccs",0.768925016368671,0.038186465049582,0.0386319939781414
400,30,0.16,9000001,1,0,"ipw","naive",0.602611322493521,0.0330344071148157,0.0336273216233894
400,30,0.16,9000001,1,0,"ipw","oracle",0.677155405036322,0.0329386438084931,0.033459651169836
400,30,0.16,9000001,1,0,"ipw","mccs",0.681308111767226,0.0390185543735711,0.0402328144534228
400,30,0.16,9000001,1,0,"dr","naive",0.655251279031007,0.0304803776433456,0.0309456212668184
400,30,0.16,9000001,1,0,"dr","oracle",0.713508764852734,0.0306132291969189,0.0305018489211514
400,30,0.16,9000001,1,0,"dr","mccs",0.767408528389056,0.037534446081584,0.0403381849160743
400,30,0.16,9000001,0,1,"gfmla","naive",0.581719279395855,0.0354632128058701,0.035940335645412
400,30,0.16,9000001,0,1,"gfmla","oracle",0.658355483229081,0.0353415220268881,0.036043257622234
400,30,0.16,9000001,0,1,"gfmla","mccs",0.653300227157908,0.0410627913795931,0.0417321019306213
400,30,0.16,9000001,0,1,"ipw","naive",0.643530335905499,0.045811591329524,0.0479980936882768
400,30,0.16,9000001,0,1,"ipw","oracle",0.717970193421193,0.043574559385883,0.0448900218397661
400,30,0.16,9000001,0,1,"ipw","mccs",0.741713324575171,0.0563440517128004,0.0598590708737146
400,30,0.16,9000001,0,1,"dr","naive",0.609085961832905,0.0438307614702016,0.0443501224752944
400,30,0.16,9000001,0,1,"dr","oracle",0.705894230144781,0.0438411855103334,0.0448691586552223
400,30,0.16,9000001,0,1,"dr","mccs",0.699433588263723,0.0539537672151076,0.0557454568355743
400,30,0.16,9000001,1,1,"gfmla","naive",0.581719279395855,0.0354632128058701,0.035940335645412
400,30,0.16,9000001,1,1,"gfmla","oracle",0.658355483229081,0.0353415220268881,0.036043257622234
400,30,0.16,9000001,1,1,"gfmla","mccs",0.653300227157908,0.0410627913795931,0.0417321019306213
400,30,0.16,9000001,1,1,"ipw","naive",0.602611322493521,0.0330344071148191,0.0336273216233933
400,30,0.16,9000001,1,1,"ipw","oracle",0.677155404971938,0.0329386438089663,0.0334596511702418
400,30,0.16,9000001,1,1,"ipw","mccs",0.681308111700654,0.0390185543725265,0.0402328144521435
400,30,0.16,9000001,1,1,"dr","naive",0.56283265577092,0.033321031609093,0.0345788138150337
400,30,0.16,9000001,1,1,"dr","oracle",0.650443430352875,0.0327484071977701,0.0329100228386808
400,30,0.16,9000001,1,1,"dr","mccs",0.634362515660851,0.0396091624886265,0.0444651557916581
2000,30,0.16,9000001,0,0,"gfmla","naive",0.660429627921244,0.0139329178741223,0.0139517311512335
2000,30,0.16,9000001,0,0,"gfmla","oracle",0.748002712298058,0.0133891665670714,0.0134066215433804
