"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,30,0.6,5000001,0,0,"gfmla","naive",0.508993252729633,0.0344280577589422,0.0346609201240722
400,30,0.6,5000001,0,0,"gfmla","oracle",0.727223404565911,0.0295025355234058,0.0296216997186846
400,30,0.6,5000001,0,0,"gfmla","mccs",0.913212762506311,0.088619647250741,0.08953512845422
400,30,0.6,5000001,0,0,"ipw","naive",0.44493304403375,0.0406393702417726,0.0414251559844137
400,30,0.6,5000001,0,0,"ipw","oracle",0.668875303949603,0.0376637171261823,0.0382703552804533
400,30,0.6,5000001,0,0,"ipw","mccs",0.784033531530562,0.0982374465333647,0.103301657259441
400,30,0.6,5000001,0,0,"dr","naive",0.501537026371854,0.0366424602893142,0.0376094560269907
400,30,0.6,5000001,0,0,"dr","oracle",0.740814787557932,0.0299115749200117,0.0301219344644611
400,30,0.6,5000001,0,0,"dr","mccs",1.06980133678157,0.167166261752705,0.190769432432721
400,30,0.6,5000001,1,0,"gfmla","naive",0.508993252729633,0.0344280577589422,0.0346609201240722
400,30,0.6,5000001,1,0,"gfmla","oracle",0.727223404565911,0.0295025355234058,0.0296216997186846
400,30,0.6,5000001,1,0,"gfmla","mccs",0.913212762506311,0.088619647250741,0.08953512845422
400,30,0.6,5000001,1,0,"ipw","naive",0.448771492948008,0.032862306388526,0.0333689381143116
400,30,0.6,5000001,1,0,"ipw","oracle",0.622841796776777,0.0367679780664546,0.0373173094485062
400,30,0.6,5000001,1,0,"ipw","mccs",0.720949846093013,0.0651121529722617,0.0677402025782956
400,30,0.6,5000001,1,0,"dr","naive",0.507356911744054,0.0339041563540699,0.0340983315678741
400,30,0.6,5000001,1,0,"dr","oracle",0.718377060485878,0.0315023023561267,0.0317865344647248
400,30,0.6,5000001,1,0,"dr","mccs",1.00510635473974,0.112078754133541,0.113932782604966
400,30,0.6,5000001,0,1,"gfmla","naive",0.4469735373802,0.0345050278912973,0.0347542335419119
400,30,0.6,5000001,0,1,"gfmla","oracle",0.664464491210538,0.0340322210701614,0.0343519130768731
400,30,0.6,5000001,0,1,"gfmla","mccs",0.697880108595512,0.0673218439598469,0.0681412647437482
400,30,0.6,5000001,0,1,"ipw","naive",0.444933044159123,0.040639370244139,0.0414251559868598
400,30,0.6,5000001,0,1,"ipw","oracle",0.668875303839213,0.0376637171085102,0.038270355262111
400,30,0.6,5000001,0,1,"ipw","mccs",0.784033531530562,0.0982374465333647,0.103301657259441
400,30,0.6,5000001,0,1,"dr","naive",0.448464462197671,0.0377704154947802,0.0382391231531807
400,30,0.6,5000001,0,1,"dr","oracle",0.704208734374839,0.039266047265475,0.0400147873056147
400,30,0.6,5000001,0,1,"dr","mccs",0.815991452308422,0.112201206211052,0.11500749864361
400,30,0.6,5000001,1,1,"gfmla","naive",0.4469735373802,0.0345050278912973,0.0347542335419119
400,30,0.6,5000001,1,1,"gfmla","oracle",0.664464491210538,0.0340322210701614,0.0343519130768731
400,30,0.6,5000001,1,1,"gfmla","mccs",0.697880108595512,0.0673218439598469,0.0681412647437482
400,30,0.6,5000001,1,1,"ipw","naive",0.448771493144336,0.0328623063880046,0.0333689381135822
400,30,0.6,5000001,1,1,"ipw","oracle",0.622841796776778,0.0367679780664572,0.0373173094485089
400,30,0.6,5000001,1,1,"ipw","mccs",0.720949846093013,0.0651121529722292,0.0677402025782664
400,30,0.6,5000001,1,1,"dr","naive",0.433125597711252,0.0340314225769476,0.0331878621903128
400,30,0.6,5000001,1,1,"dr","oracle",0.650812056841724,0.0340261457622692,0.0348739124865455
400,30,0.6,5000001,1,1,"dr","mccs",0.703595394252903,0.0748247281320575,0.0677742019559282
2000,30,0.6,5000001,0,0,"gfmla","naive",0.501119301139956,0.0135136062512043,0.0135255757599222
2000,30,0.6,5000001,0,0,"gfmla","oracle",0.7525417525071,0.0132230382524317,0.0132393086609004
2000,30,0.6,5000001,0,0,"gfmla","mccs",0.786517796067134,0.0270753984076733,0.0271217617680107
2000,30,0.6,5000001,0,0,"ipw","naive",0.482755489969365,0.0184839535577092,0.0185708392578421
2000,30,0.6,5000001,0,0,"ipw","oracle",0.696321976366365,0.0409689842816477,0.0417036891192238
2000,30,0.6,5000001,0,0,"ipw","mccs",0.766400644643837,0.0368202146637998,0.0371679289959938
2000,30,0.6,5000001,0,0,"dr","naive",0.50268917810256,0.015387860778442,0.0154675905117799
2000,30,0.6,5000001,0,0,"dr","oracle",0.74511805005498,0.0167757288359202,0.0170394256506888
2000,30,0.6,5000001,0,0,"dr","mccs",0.832716732557882,0.0374254938889038,0.0379848730277572
2000,30,0.6,5000001,1,0,"gfmla","naive",0.501119301139956,0.0135136062512043,0.0135255757599222
2000,30,0.6,5000001,1,0,"gfmla","oracle",0.7525417525071,0.0132230382524317,0.0132393086609004
2000,30,0.6,5000001,1,0,"gfmla","mccs",0.786517796067134,0.0270753984076733,0.0271217617680107
2000,30,0.6,5000001,1,0,"ipw","naive",0.45647363728856,0.0148747451169519,0.014914474361614
2000,30,0.6,5000001,1,0,"ipw","oracle",0.660485644420707,0.0167894972844691,0.0168415208263226
2000,30,0.6,5000001,1,0,"ipw","mccs",0.655718068598555,0.0283904038489209,0.0286100528300093
2000,30,0.6,5000001,1,0,"dr","naive",0.492424518556619,0.0149703782860548,0.0150838807676776
2000,30,0.6,5000001,1,0,"dr","oracle",0.749943201661694,0.0138522797105124,0.0138855686444138
2000,30,0.6,5000001,1,0,"dr","mccs",0.759187681290923,0.03083061520701,0.0313869691139089
2000,30,0.6,5000001,0,1,"gfmla","naive",0.475089644483799,0.0148018370481637,0.0148186160168733
2000,30,0.6,5000001,0,1,"gfmla","oracle",0.693180636972763,0.0159916140272488,0.0160337427490705
