"n","vare","B","seed","a1","est.OG.1","est.NG.1","est.CG.1","ste.OG.1","ste.NG.1","ste.CG.1","bcs.OG.1","bcs.NG.1","bcs.CG.1"
800,0.01,80,9000001,3,0.316490457235507,0.317966591939061,0.319568613421231,0.0260382380785974,0.0259147383293897,0.0262296030160422,0.026306917144489,0.0261835405176691,0.0265017476646511
8000,0.01,80,9000001,3,0.32080368495824,0.319396319274439,0.320844741710776,0.00853267976287062,0.00846707887747881,0.00857094425585224,0.00854472570917397,0.00847892915186115,0.00858322903590612
800,0.12,80,9000001,3,0.316490457235507,0.309562268444509,0.327001134187814,0.0260382380785974,0.0242837276903703,0.0280295952397905,0.026306917144489,0.0245147316427865,0.0282984131110393
8000,0.12,80,9000001,3,0.32080368495824,0.306899997824523,0.3215236397835,0.00853267976287062,0.00799468584139979,0.0091581876920698,0.00854472570917397,0.00800419139418946,0.00917258494273419
800,0.23,80,9000001,3,0.316490457235507,0.301233035977496,0.330880573615878,0.0260382380785974,0.0230346395514985,0.0300989747600156,0.026306917144489,0.0232347920700437,0.0303894428550656
8000,0.23,80,9000001,3,0.32080368495824,0.297849104579081,0.322352406191799,0.00853267976287062,0.00763128489920652,0.00978387247047926,0.00854472570917397,0.00763904008198881,0.00980056870250554
800,0.34,80,9000001,3,0.316490457235507,0.294557726831029,0.334093431188386,0.0260382380785974,0.022092374106437,0.0332176216365099,0.026306917144489,0.0222673492046438,0.0336035643277248
8000,0.34,80,9000001,3,0.32080368495824,0.290955863072783,0.323314034209555,0.00853267976287062,0.00733559942965729,0.0104535918337397,0.00854472570917397,0.00734204401596745,0.0104727734584571
800,0.45,80,9000001,3,0.316490457235507,0.289175418926624,0.337367437158899,0.0260382380785974,0.0213576931550092,0.0361795753164147,0.026306917144489,0.0215116796846613,0.0366006597393226
8000,0.45,80,9000001,3,0.32080368495824,0.285531882787428,0.324420588436906,0.00853267976287062,0.00709112481277136,0.0111899759490057,0.00854472570917397,0.00709656832161966,0.011211821082475
800,0.56,80,9000001,3,0.316490457235507,0.284752662487056,0.335961463083193,0.0260382380785974,0.0207667266968209,0.0290462066978936,0.026306917144489,0.0209030420521041,0.029289963339665
8000,0.56,80,9000001,3,0.32080368495824,0.281155927009837,0.325679780598541,0.00853267976287062,0.00688649963944169,0.0120141434591543,0.00854472570917397,0.00689116282260219,0.0120389037346901
800,0.67,80,9000001,3,0.316490457235507,0.281050650420267,0.331157187993145,0.0260382380785974,0.0202793291801934,0.0231416364900923,0.026306917144489,0.0204006693306328,0.0237011275681188
8000,0.67,80,9000001,3,0.32080368495824,0.277553500858154,0.327071322460273,0.00853267976287062,0.00671330394010915,0.0129631478081975,0.00854472570917397,0.00671734742328741,0.0129911067856474
800,0.78,80,9000001,3,0.316490457235507,0.277901733880372,0.328721988100883,0.0260382380785974,0.0198693876549056,0.0304044055483858,0.026306917144489,0.0199779619918806,0.0306801233029211
8000,0.78,80,9000001,3,0.32080368495824,0.274537798169499,0.328577741065276,0.00853267976287062,0.00656518367257881,0.0140918492090745,0.00854472570917397,0.00656872674593674,0.0141213753118073
800,0.89,80,9000001,3,0.316490457235507,0.275186384884488,0.329501548894146,0.0260382380785974,0.0195191874323538,0.0226508268974683,0.026306917144489,0.0196168140858654,0.0231352702863336
8000,0.89,80,9000001,3,0.32080368495824,0.271977317645815,0.329987487875422,0.00853267976287062,0.00643729462445614,0.0144096940049691,0.00854472570917397,0.00644042759470718,0.0144377722092791
800,1,80,9000001,3,0.316490457235507,0.272817468152962,0.339975805078212,0.0260382380785974,0.0192162329117141,0.0221606532846849,0.026306917144489,0.0193044139833952,0.0227349313033126
