"n","vare","B","seed","a1","a2","a3","a4","a5","est.OL.1","est.OL.2","est.OL.3","est.OL.4","est.OL.5","est.NL.1","est.NL.2","est.NL.3","est.NL.4","est.NL.5","est.CL.1","est.CL.2","est.CL.3","est.CL.4","est.CL.5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OL.1","ste.OL.2","ste.OL.3","ste.OL.4","ste.OL.5","ste.NL.1","ste.NL.2","ste.NL.3","ste.NL.4","ste.NL.5","ste.CL.1","ste.CL.2","ste.CL.3","ste.CL.4","ste.CL.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5"
400,0.25,80,7000001,0,1,2,3,4,-2.24081393898539,-1.46665916172092,-0.692504384456459,0.0816503928080055,0.85580517007247,-1.76430909855036,-1.22282366240321,-0.681338226256059,-0.13985279010891,0.40163264603824,-2.53078642641235,-1.6143206147192,-0.697854803026049,0.2186110086671,1.13507682036025,0.158994678675349,0.184143210148756,0.23691702503616,0.310307769038617,0.383436745586126,0.123220443613075,0.171166508154143,0.233159875260383,0.306636793988875,0.385255246239182,0.0751958655690567,0.134495558499764,0.232200110505276,0.36100158164104,0.489150484790135,0.619094140232356,0.355429673587776,0.174627586494552,0.309469187100489,0.56759087753935,0.493962448170116,0.301520304281867,0.177974168769305,0.257448699291532,0.441281744407764,0.825346948022244,0.46961556262753,0.196411352030414,0.367849850133127,0.714665695113188,0.0605424182569925,0.035309739229155,0.0219117481359485,0.0431647603941453,0.0643788355106055,0.0370227785986076,0.0290885399340757,0.0220642102503198,0.0369741572658483,0.0647660332033313,0.0418857650561167,0.0374865652085291,0.0248841765167965,0.057400301070078,0.10187730702113
800,0.25,80,7000001,0,1,2,3,4,-2.8232370899342,-1.77072653607942,-0.718215982224649,0.334294571630126,1.3868051254849,-2.05359263358784,-1.36026011129565,-0.666927589003467,0.0264049332887204,0.719737455580908,-3.40679794572761,-2.08598707423239,-0.765176202737178,0.555634668758038,1.87644554025325,0.077383487630575,0.12549766385022,0.218900935548363,0.348036596427616,0.460468755114614,0.117868430140099,0.159607974501592,0.222057054701551,0.300001767015157,0.378530154440038,0.0736618252662441,0.114405072502549,0.217080106837032,0.371812022886508,0.487044492998205,0.540896492467791,0.310995742878443,0.128071489622739,0.227202285774104,0.449860054582406,0.389216726869644,0.232951761697603,0.12220687462875,0.183012707921197,0.331577919108592,0.606858703222441,0.426472664680433,0.254080379335532,0.127715316261599,0.192722656304769,0.0284065443988826,0.0235015863589726,0.0167960010838161,0.0362091010684943,0.051162902254953,0.0297668685822549,0.0220772987604915,0.0161601337886114,0.0277094761619521,0.0443134948814497,0.0369325551384435,0.0294976696643927,0.0310288257714421,0.0482288005692425,0.0518953411959684
8000,0.25,80,7000001,0,1,2,3,4,-2.02541136970616,-1.33408408023875,-0.64275679077134,0.0485704986960713,0.739897788163483,-1.47243514417031,-1.05157137072168,-0.630707597273049,-0.209843823824421,0.211019949624208,-2.10035795908899,-1.3684315358053,-0.636505112521614,0.0954213107620725,0.827347734045759,0.0971155290018672,0.15258497930985,0.231198273051313,0.327673717418236,0.427439953449023,0.143340205544589,0.183155468150622,0.231048322925275,0.285456960154821,0.343420454906244,0.0976398247514673,0.151151421831922,0.229235858360439,0.326661909206802,0.427511381034336,0.136166452831412,0.0768399013225461,0.0368645095262235,0.0700369028351512,0.128619195782172,0.104347949349673,0.0615510679894484,0.0363954162646796,0.0591335065491198,0.101513397075402,0.189121582066749,0.101343319736034,0.0375289774436307,0.0958166993898423,0.183269516442634,0.0097062501956991,0.00788875966108617,0.00521650969411822,0.0105354127272971,0.0194004329343536,0.00996829097063408,0.0071549767875233,0.00502449115867408,0.00842433680688141,0.0149717608535059,0.012617370008394,0.00986065463808102,0.00554301297604123,0.0135134966010785,0.0256526700382998
400,0.25,80,7000002,0,1,2,3,4,-3.00009487661293,-1.80748996598527,-0.614885055357609,0.57771985527005,1.77032476589771,-1.02078873024074,-0.767279705531716,-0.513770680822696,-0.260261656113675,-0.00675263140465465,-1.57154510971978,-1.04170826187499,-0.51187141403021,0.0179654338145752,0.54780228165936,0.102481290202363,0.136865876879347,0.231803130571102,0.361204640870738,0.449652529011132,0.188887772998925,0.209001522101211,0.236499629443812,0.26927110256125,0.303659536985844,0.155066494478285,0.185063836442075,0.240994768658049,0.311655901821232,0.376159360545628,0.850897590708985,0.472201861554896,0.174550367883795,0.382761555660613,0.755705187719392,0.532897542269437,0.305225113762908,0.162925749237564,0.290046685269684,0.515663853382713,1.14030230038648,0.602430562608154,0.166987030111813,0.543300646649956,1.0792568535981,0.0562401367006716,0.0375680568334835,0.0226442849701623,0.0436872370212697,0.0500230376137987,0.0563625738297912,0.0346884315143467,0.0218156078482964,0.0377671497592737,0.0626605216380236,0.0944249990843414,0.0573426402409672,0.0231746124425168,0.0595756816590457,0.0988553769767954
800,0.25,80,7000002,0,1,2,3,4,-1.56251066994046,-1.14686725145884,-0.73122383297721,-0.315580414495583,0.100063003986044,-0.903069455567382,-0.814409607824442,-0.725749760081503,-0.637089912338563,-0.548430064595624,-1.03658594714731,-0.875105080098019,-0.713624213048729,-0.55214334599944,-0.39066247895015,0.11100970377079,0.156934343406167,0.221003357326291,0.307255900964173,0.415776410879524,0.175453890859472,0.199823745957393,0.228268188560479,0.260994088203039,0.297811515569163,0.143776152792919,0.180223853655923,0.228517475374162,0.290021359950067,0.362327260457465,0.541979764129485,0.293510265492068,0.125506571843528,0.287320266611884,0.535304944904539,0.342878967101221,0.198279079252955,0.122782238450253,0.211774976115606,0.35865593618276,0.583523161099262,0.304830805015582,0.124171147200815,0.328617166124094,0.608797276529092,0.0355087079355044,0.0264609235274762,0.0170071178476298,0.0385402468931934,0.0846647843342745,0.0351891910635294,0.0231169915765679,0.0158233323223949,0.0267059192518843,0.0485249502495061,0.0529292661094151,0.0348560933234751,0.0182218478938929,0.0443725911304937,0.0954541971159734
8000,0.25,80,7000002,0,1,2,3,4,-2.07276174733616,-1.32973702000041,-0.586712292664662,0.156312434671089,0.899337162006839,-1.4420562056334,-1.00867216359308,-0.575288121552762,-0.14190407951244,0.291479962527881,-2.20326994738449,-1.39689057802626,-0.590511208668026,0.215868160690208,1.02224753004844,0.0904749175615127,0.150703496435038,0.239198859442748,0.348384330518726,0.458253354654029,0.133170673687913,0.180473507409744,0.23833681498027,0.304767947827247,0.375944108469133,0.0787175028760958,0.140916087076571,0.23709873063403,0.359192630421365,0.482818520718901,0.142760747720383,0.0801387276392716,0.0371346922101794,0.072463371322296,0.134305919903725,0.109442311573332,0.0646070804317533,0.0368374493892065,0.0593833989367087,0.10335495158548,0.224102043673461,0.121025767760641,0.0390014732103253,0.104131461769205,0.206431527909134,0.00838613785704152,0.00728775577452091,0.0051674314887493,0.0105177696247002,0.0179336166173846,0.00913822347539701,0.00690809777743197,0.00501729195104279,0.00852558869467781,0.0151056121404452,0.0109258307721516,0.00993039144832558,0.00553551865912847,0.0140884250437441,0.0254023170272709
400,0.25,80,7000003,0,1,2,3,4,-2.31942457100031,-1.60737041554098,-0.895316260081646,-0.183262104622315,0.528792050837015,-1.51223151584407,-1.197287409435,-0.882343303025924,-0.567399196616849,-0.252455090207774,-2.01423535525454,-1.44561603238124,-0.876996709507935,-0.308377386634631,0.260241936238672,0.086270589802427,0.136010462602854,0.209482344356705,0.30504458601817,0.409961447844527,0.133605751490477,0.167185240099273,0.208048344748564,0.256662222100253,0.31296820255619,0.0783512216457621,0.12891647644192,0.206104753181658,0.317224425170224,0.463055072286394,0.644116218488349,0.36425632794356,0.169813428861344,0.321477040305977,0.596837777719925,0.486982509515513,0.278566551293845,0.167557831172723,0.297625392795553,0.509033462994279,1.01295825272756,0.517858406828609,0.175997326236943,0.560783032667115,1.05767905442879,0.0372528909138182,0.0302074864231689,0.0226014393930455,0.0459868810651567,0.0827141436398222,0.0423512588737992,0.0288406106912221,0.0216569752086517,0.0408880503713241,0.0761186888130596,0.106801369625356,0.0862683621361282,0.0262606645678958,0.186879446136146,0.514809938865203
800,0.25,80,7000003,0,1,2,3,4,-1.45625328932968,-0.986262973926296,-0.516272658522908,-0.0462823431195198,0.423707972283868,-1.15861023716054,-0.834129741308072,-0.509649245455603,-0.185168749603133,0.139311746249336,-1.5891469344153,-1.05263498403811,-0.516123033660912,0.0203889167162836,0.556900867093479,0.115257627955999,0.170228550682147,0.242454662874358,0.330913648735269,0.431492188050388,0.171111362141268,0.202293363350978,0.239190918576573,0.281041175125596,0.326580677558635,0.140549347493998,0.180583681135161,0.23613059519257,0.304292585938525,0.378856286179118,0.420579310324978,0.236734072965578,0.114508608107264,0.219304711205229,0.401235624516703,0.324543129708076,0.192593946993963,0.114334553306005,0.182395526325687,0.312537425359804,0.544629832632724,0.295984575701338,0.11659234288675,0.273097731029957,0.520165990694094,0.0302677448272619,0.0225425876005362,0.0161012252406873,0.0339683340553862,0.0623533193427787,0.030934449933741,0.020664443255598,0.0156973093031291,0.0256784373288554,0.0426950198913234,0.047554117072325,0.0283320483850204,0.0175352169953797,0.0397265060586789,0.0693423943927118
8000,0.25,80,7000003,0,1,2,3,4,-2.14352147198426,-1.38685938706037,-0.630197302136488,0.126464782787395,0.883126867711278,-1.57399115639664,-1.09926662651951,-0.624542096642385,-0.149817566765259,0.324906963111867,-2.35808216785245,-1.50418615595577,-0.65029014405908,0.203605867837606,1.05750187973429,0.0869440551723442,0.145695438550268,0.233083102874867,0.342218552934714,0.452937158830125,0.126813450564039,0.173721794388923,0.23214604140325,0.299909108592858,0.37247854805347,0.0758524346043069,0.135223300930085,0.229638690129624,0.351999657657295,0.475972517172467,0.147969668745683,0.0833913525479672,0.0374403398007458,0.0723740765920707,0.135877891631634,0.114954715292806,0.0683519560174452,0.0372889106777415,0.0580517482287616,0.103007852759193,0.208685788293506,0.115584576674893,0.0404215719685167,0.0914991015341539,0.183233022865881,0.00855910206321139,0.0074649567351044,0.00517476441900332,0.0108122004321939,0.0187357511488478,0.00891608282135177,0.00692555625807326,0.00501757274035561,0.00832344226585763,0.0147288389651839,0.00982520034649774,0.00926647230460054,0.00564762476695121,0.0130837641268819,0.0235780489328883
400,0.25,80,7000004,0,1,2,3,4,-1.74208921606346,-1.2164507886459,-0.690812361228346,-0.165173933810791,0.360464493606765,-1.03699683059346,-0.869206822685112,-0.701416814776761,-0.533626806868409,-0.365836798960058,-1.30132117129349,-1.00058703314612,-0.699852894998744,-0.399118756851373,-0.0983846187040016,0.298848068133714,0.238846046162553,0.221093630667889,0.237884149292995,0.272695123194114,0.225537162750758,0.221052168418521,0.220622124630135,0.223822739237231,0.230142199320813,0.240222341038629,0.225062589112785,0.222593768382763,0.230892242500795,0.247196727309181,0.612171068526286,0.345763667782625,0.164464416797036,0.311835707452342,0.574570627606592,0.451816199927957,0.267025424817327,0.163524123591829,0.265425249383222,0.449926493485194,0.776980726700936,0.416379201791974,0.164495571864436,0.405907021495039,0.76581772667706,0.175372429168728,0.0782563793492707,0.0217773217634716,0.0436114898860171,0.0688168794772868,0.0755547431578217,0.0400759006779024,0.0212274092954593,0.0343011673589201,0.056779226291729,0.114192971132024,0.0556636112416746,0.0215852507848778,0.0478060651153411,0.0873810505381433
