"n","vare","B","seed","a1","a2","a3","a4","a5","est.OL.1","est.OL.2","est.OL.3","est.OL.4","est.OL.5","est.NL.1","est.NL.2","est.NL.3","est.NL.4","est.NL.5","est.CL.1","est.CL.2","est.CL.3","est.CL.4","est.CL.5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OL.1","ste.OL.2","ste.OL.3","ste.OL.4","ste.OL.5","ste.NL.1","ste.NL.2","ste.NL.3","ste.NL.4","ste.NL.5","ste.CL.1","ste.CL.2","ste.CL.3","ste.CL.4","ste.CL.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5"
800,0.25,100,8000001,0,1,2,3,4,-2.88262164057623,-1.68300893511846,-0.483396229660693,0.716216475797074,1.91582918125484,-1.87385559233208,-1.15921518983049,-0.44457478732891,0.270065615172673,0.984706017674256,-2.60886580079183,-1.52788561183065,-0.446905422869468,0.634074766091714,1.7150549550529,0.089644397076463,0.134264097862471,0.237549351348327,0.380089066428469,0.483160983784862,0.143056424422148,0.177673624503524,0.239835311469376,0.322868259883836,0.403230859565957,0.131437371424895,0.158046681001121,0.252212343331025,0.392224376962725,0.485099671394235,0.419480178594551,0.237454690874628,0.12463129383105,0.2311023751168,0.41232362940564,0.326956856917835,0.191061704049523,0.11954429133614,0.200647887593781,0.338246635413669,0.485200260782644,0.278783809509887,0.131021769468392,0.231858077178466,0.433006702118624,0.0265025381641177,0.0205263326662006,0.0171827551619429,0.0372862095018069,0.0429328491750272,0.0290985999938812,0.0208711104547411,0.0158724725143488,0.0281842626331559,0.0410851076355907,0.0389972084371366,0.025442837291373,0.0158833364989216,0.0250910804538561,0.0289560557658314
8000,0.25,100,8000001,0,1,2,3,4,-2.03520510023083,-1.31499755723926,-0.594790014247677,0.125417528743901,0.845625071735479,-1.57024706063015,-1.07615274712785,-0.582058433625557,-0.0879641201232622,0.406130193379032,-1.97584624276766,-1.28187005194988,-0.587893861132091,0.106082329685693,0.800058520503478,0.0985330727682223,0.15859699521494,0.244637411748128,0.34942227568648,0.454902167296256,0.132497579870334,0.183056800320394,0.246177205446238,0.318663654021367,0.394438323839869,0.100327521323653,0.160638147184416,0.24586926956151,0.34900130721354,0.453294992820491,0.109664495048726,0.0655731500030302,0.0372148104263997,0.0572853717414059,0.0999492526372984,0.0892488030214287,0.0555641140006762,0.0365020909374418,0.0519658010150251,0.0848026901794034,0.126851895962833,0.0728325402812808,0.037599020487006,0.0664734966933382,0.119664937166219,0.00711036842483898,0.00636169879120514,0.00516727681174352,0.0086079248275283,0.0139301373470089,0.00789191781440662,0.00633275112577284,0.00511275663684604,0.00771883306647647,0.0126289629766092,0.00883107299271488,0.00749423212727497,0.00544275201440074,0.00990293140064262,0.0169982794950113
800,0.25,100,8000002,0,1,2,3,4,-2.13359610314664,-1.33052233145386,-0.527448559761086,0.275625211931692,1.07869898362447,-1.38551849357316,-0.947402891599108,-0.509287289625056,-0.071171687651004,0.366943914323048,-1.71413019164496,-1.11348899783888,-0.512847804032793,0.0877933897732917,0.688434583579376,0.10593429035613,0.152131099045576,0.239185000828096,0.35208281060906,0.446158769084208,0.157564708346952,0.19033305967788,0.239314250509183,0.300025370510902,0.360502528336923,0.139809100728168,0.176661315550897,0.242048381311243,0.326155939812904,0.402429633811247,0.355351060911497,0.208754892504459,0.116430647276796,0.190280971022229,0.333962366245292,0.263703531208338,0.167450665204912,0.113734880993942,0.155651039197182,0.248826433127465,0.35824505644244,0.207590267581477,0.115393813798766,0.19749825232359,0.346645642433441,0.0244835551508669,0.0195905193601301,0.0159800298809188,0.0246539308829124,0.0323032641665765,0.027295216695214,0.0196169974418889,0.0157012295374056,0.0217143301761216,0.0310775332454154,0.0330567404128911,0.022744532734919,0.0162726468754569,0.0276926648457595,0.0394990923002827
8000,0.25,100,8000002,0,1,2,3,4,-1.9387852878752,-1.23328285820078,-0.527780428526357,0.177722001148062,0.883224430822481,-1.53961673029454,-1.03543809647888,-0.53125946266323,-0.0270808288475752,0.477097804968079,-2.01744452054421,-1.28131961488222,-0.545194709220223,0.19093019644177,0.927055102103763,0.0970174850245995,0.155482893114435,0.238026054636454,0.33706808763726,0.435769552359708,0.122981754094288,0.173378321671781,0.236715620127304,0.309694413195313,0.386138709221561,0.087283400423822,0.147398681924989,0.235115990124559,0.342778441826772,0.451602708694727,0.116821555208642,0.0688413090793976,0.0375762717130488,0.0605460720578057,0.107241213034419,0.0978973119738053,0.0601347108975187,0.0371048076864079,0.0535316129763343,0.0899043044460962,0.151716410410672,0.0862393095975304,0.0388209984230259,0.0723009224284518,0.136375507024509,0.00790868852873915,0.00680683179341882,0.00514232480490087,0.00879298801629085,0.014828935394997,0.00809733338136793,0.0065193555065443,0.00505259355261379,0.00776611280056203,0.0132128695162107,0.00922312660872722,0.00812759593204096,0.00543962484670157,0.0103146035138384,0.0189367974725783
800,0.25,100,8000003,0,1,2,3,4,-1.99782785127987,-1.30907499385472,-0.620322136429557,0.0684307209956023,0.757183578420761,-1.51182386429077,-1.03624067786451,-0.560657491438244,-0.0850743050119822,0.39050888141428,-1.83179124689523,-1.1858509494139,-0.539910651932565,0.106029645548766,0.751969943030097,0.108638742084199,0.166415929097285,0.246955327642337,0.345074725492041,0.447029590711767,0.147845454959537,0.194298375579222,0.251119066455951,0.315940528203851,0.384356534562302,0.119222443373041,0.176178710464348,0.252835885778638,0.344048032987359,0.43845952407479,0.327089027395921,0.201517025527451,0.123325218930296,0.175462890615455,0.295539270917096,0.260402186762055,0.161940160515026,0.120149477806299,0.180119802239902,0.283277874203189,0.338784472818848,0.189632255606708,0.124627389337667,0.231278404618868,0.387083369800703,0.0256505465874567,0.0208264714238831,0.0163652284521602,0.0277841719910006,0.0484248438609241,0.0266962883479288,0.0203971025503358,0.0164649415507433,0.0254941098841342,0.0424702219366227,0.0305597721138811,0.0234207227532412,0.0177238011601964,0.0333771190448321,0.0581832619511603
8000,0.25,100,8000003,0,1,2,3,4,-1.92397213187887,-1.26386423251239,-0.603756333145912,0.0563515662205694,0.71645946558705,-1.53602429820166,-1.06826027644855,-0.600496254695443,-0.132732232942334,0.335031788810775,-1.95691058576688,-1.27925866500468,-0.60160674424248,0.0760451765197214,0.753697097281923,0.109152448277019,0.163283176370101,0.23768630535119,0.326762559591709,0.417252762734827,0.138652642801436,0.183478839480601,0.23842146134504,0.300892873650796,0.36607640071085,0.107808935057945,0.162531177230994,0.238588667289307,0.32977494810318,0.421344633848383,0.109385337073597,0.0638726549233797,0.0366538851159045,0.0612905025929043,0.106389714206608,0.0912469723135139,0.0563257307006849,0.0364819411811414,0.0529248735144233,0.0870799549350276,0.131177536658365,0.074883151297025,0.0375976913898681,0.0680135741803101,0.123467671772701,0.00798941584374559,0.00649941439040069,0.00505724348549302,0.00883384393236589,0.0145274401082017,0.00826263703279343,0.00634529857630406,0.00498383719535628,0.00759382487823682,0.0124354923329529,0.00950397201611757,0.00759729848345898,0.00522447666552594,0.00964667291826585,0.0164656113475284
800,0.25,100,8000004,0,1,2,3,4,-1.85645962799978,-1.23110242871948,-0.605745229439185,0.0196119698411139,0.644969169121413,-1.78020662133893,-1.19937831996756,-0.6185500185962,-0.0377217172248372,0.543106584146526,-2.30361645126344,-1.46743953280971,-0.631262614355975,0.204914304097756,1.04109122255149,0.115627626278592,0.165065178235473,0.231853760249438,0.31074516611603,0.390067883380435,0.119368449873874,0.164719464897658,0.224800430540599,0.296164968309752,0.370877413568875,0.0868056576164584,0.140308947774861,0.223710769461225,0.329679377871763,0.434473859305163,0.343922601991333,0.203400920326514,0.121591198565966,0.196265666120172,0.335528405319629,0.311134125057239,0.196521333164436,0.124892471613595,0.166544075266008,0.273928883124979,0.449634968536997,0.265907380424976,0.133437504735355,0.208490055033424,0.384310214667787,0.027305482123782,0.0209896309994258,0.0157412961407811,0.0269929214340801,0.0434059707105907,0.024626021452099,0.0195502517506898,0.0162643215314113,0.0246103319478631,0.0395690650686591,0.0292608989116671,0.0232101691882737,0.0183464385181133,0.0352443759181977,0.0567537635844913
8000,0.25,100,8000004,0,1,2,3,4,-2.08751342953674,-1.34963549065472,-0.611757551772695,0.126120387109327,0.86399832599135,-1.62122454235897,-1.11050344269044,-0.599782343021916,-0.0890612433533906,0.421659856315135,-2.08373248415731,-1.34555043445077,-0.607368384744223,0.130813664962323,0.868995714668869,0.103621688596805,0.157027890104123,0.234302431613791,0.329004193440065,0.423928586872996,0.136314102419082,0.180303273120222,0.235555702006774,0.299194013657561,0.365525225903526,0.106590756634545,0.158817511247647,0.234527966451224,0.327206600957919,0.419681249442742,0.109369716710051,0.0650627273368264,0.0375150092548714,0.0590286983246076,0.10229463528465,0.0949939771606058,0.0587267011394791,0.0371269812301354,0.0530341175320292,0.0880422630793898,0.138808519521131,0.0792704217611284,0.0385112189286561,0.0697549119646731,0.128186196782931,0.00805485564237425,0.00650458429626712,0.00510091191368559,0.00867359105681325,0.0143850258849561,0.00827254397621573,0.00631161142854114,0.00497889625550087,0.00761023202358889,0.012459030513187,0.00978681687809394,0.00755383847395376,0.00525467845208081,0.00991153311789574,0.0169002559827949
800,0.25,100,8000005,0,1,2,3,4,-2.03380640017174,-1.32105652715786,-0.608306654143983,0.104443218869896,0.817193091883775,-1.44479214734785,-1.01316205441711,-0.581531961486368,-0.14990186855563,0.281728224375109,-1.7617632600201,-1.16573925457848,-0.56971524913686,0.0263087563047597,0.62233276174638,0.126850427782317,0.171218826586982,0.241948956847388,0.3313175185309,0.418169141102372,0.162080133035126,0.196228935791505,0.239255774808878,0.288919013185005,0.341180875259382,0.141994129644089,0.1837229584816,0.242798782509022,0.314015438403686,0.386103697943716,0.335741803009177,0.199321522012596,0.116136662278742,0.184386886332353,0.318216070800482,0.259115213947098,0.16195942836663,0.114788494038197,0.167264221754043,0.265769864700893,0.345974190765474,0.199124377025833,0.116769246232636,0.20408762504194,0.351710993593448,0.0336643646402488,0.0232104715602662,0.0168403763819631,0.0284536227609692,0.0416350351364767,0.0285418211658614,0.0200503370468886,0.0163631573457997,0.0251040960872015,0.0389473471775478,0.0352217325787658,0.0238411360919897,0.0174502051473564,0.0313373977020483,0.0490069521583582
8000,0.25,100,8000005,0,1,2,3,4,-1.9665318049182,-1.28541207846047,-0.604292352002732,0.0768273744550032,0.757947100912739,-1.47803349522711,-1.03815170315754,-0.598269911087966,-0.158388119018393,0.28149367305118,-1.87300949467056,-1.24180892422252,-0.610608353774488,0.0205922166735453,0.651792787121579,0.11120863203498,0.165004704887096,0.240563348631682,0.333000527277979,0.429277975779728,0.147069209143996,0.1896463524308,0.241580937298147,0.301158284680286,0.365020274959366,0.118259004680295,0.169369539204465,0.239490706513667,0.324759826961005,0.415039024504351,0.113406540872481,0.0666934783838564,0.0369348665673195,0.0600794177808417,0.10575479316114,0.0933671473739765,0.0579708666957296,0.036614657720403,0.0515505531719933,0.0855049735543072,0.13459742181815,0.0775729936015361,0.0378465934044965,0.066036746196015,0.121667707234906,0.00752774026369083,0.00641732317057813,0.00508747918420384,0.00848471287495424,0.0142995338884431,0.00805645463024642,0.00630002349098492,0.00500320574145873,0.00733822834250603,0.0122599982392572,0.00911342732382533,0.00739818045825437,0.00522296488216078,0.00918847115387199,0.0165055468780559
