"n","vare","B","seed","a1","a2","a3","a4","a5","est.OL.1","est.OL.2","est.OL.3","est.OL.4","est.OL.5","est.NL.1","est.NL.2","est.NL.3","est.NL.4","est.NL.5","est.CL.1","est.CL.2","est.CL.3","est.CL.4","est.CL.5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OL.1","ste.OL.2","ste.OL.3","ste.OL.4","ste.OL.5","ste.NL.1","ste.NL.2","ste.NL.3","ste.NL.4","ste.NL.5","ste.CL.1","ste.CL.2","ste.CL.3","ste.CL.4","ste.CL.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5"
800,0.25,80,1,0,1,2,3,4,-1.07468665136564,-0.728266371281072,-0.381846091196502,-0.0354258111119323,0.310994468972637,-1.16173437522696,-0.774059141245409,-0.386383907263854,0.00129132671770149,0.388966560699257,-1.76795609443185,-1.08625653470168,-0.404556974971507,0.277142584758665,0.958842144488837,0.149238740541556,0.194460710186828,0.252930768767861,0.328024243621736,0.421465133765033,0.16102454887165,0.20660722902576,0.259275155470792,0.317022015761194,0.3770192205853,0.110394394212179,0.172402191941668,0.256784531275536,0.355574788387807,0.45432527390573,0.393637437633227,0.221289050402859,0.111032386242787,0.212199135733768,0.383496663691317,0.330833893390654,0.195595921210888,0.111049484817928,0.177971166394987,0.310295034383941,0.60432939583084,0.327693390791055,0.115164116643099,0.287842778001129,0.562276650434468,0.0357927672134876,0.0252943036711869,0.0168096257888787,0.0331570004316069,0.0738118851425017,0.031639821569658,0.022977754492227,0.0163072803979777,0.0257466191457544,0.044222330320793,0.0382805937673049,0.0313713254445458,0.0173538017686889,0.037926484652722,0.0687318546380994
8000,0.25,80,1,0,1,2,3,4,-1.94896707278916,-1.28523202083673,-0.62149696888431,0.0422380830681133,0.705973135020536,-1.42401466037025,-1.02377687301224,-0.623539085654227,-0.223301298296216,0.176936489061795,-2.06651000205067,-1.34953574449031,-0.632561486929941,0.0844127706304252,0.801387028190792,0.103609920736544,0.158236645338578,0.233934467719589,0.325336812218309,0.419060342543753,0.143958290524412,0.185460363739578,0.235130294532194,0.291077668509132,0.349900352800489,0.0931644368017387,0.151046292909996,0.236265087044512,0.340805943774938,0.443848832964388,0.139420920043484,0.0775200199610294,0.0365203505955572,0.0735618140366565,0.135063566238205,0.108727637901724,0.0641949248082963,0.0363838225074939,0.0585668997901576,0.102175760351775,0.207514189759273,0.112069361182574,0.0378235881467786,0.0983635362557088,0.193116094743973,0.0100491767703237,0.0077348817357883,0.00518644029921726,0.0111724620056958,0.0197428601907479,0.0104535422392288,0.00738032002203907,0.00499408017145268,0.0086824436410698,0.0153349491615338,0.0136232304072908,0.0108048046624615,0.00547664362627773,0.014614553883678,0.0261515654743547
800,0.25,80,2,0,1,2,3,4,-2.05305855224718,-1.32728342115671,-0.601508290066241,0.124266841024226,0.850041972114693,-1.48792459021359,-1.05839305301155,-0.628861515809516,-0.19932997860748,0.230201558594556,-2.30551101407824,-1.47445039700829,-0.643389779938341,0.18767083713161,1.01873145420156,0.0781202748036197,0.135330095541906,0.220245157645076,0.327360882594336,0.440182834921589,0.13439575771629,0.172698285236585,0.219143991105399,0.271810870871812,0.327110239193622,0.0815399611465526,0.134697465721793,0.217590785508544,0.322249224015818,0.423606551682115,0.441289720136859,0.235904284289395,0.11874213858965,0.264732335559378,0.472865068902039,0.357707530543044,0.210549461675087,0.118395399326004,0.192389869059905,0.336630731243658,0.814799279182181,0.432522751038823,0.124584544165103,0.386308168165916,0.766951110962641,0.0245105801256858,0.0216355682030893,0.0164287108444136,0.0352618942968432,0.0655558715937541,0.0355616143460413,0.0249607667786201,0.0160891381500389,0.0262080607256109,0.0465220576509176,0.0495038683669003,0.0411517017555832,0.0204774737886351,0.0507983614211156,0.0913113188956877
8000,0.25,80,2,0,1,2,3,4,-1.85841626908441,-1.20658132136875,-0.55474637365309,0.0970885740625707,0.748923521778231,-1.34039585694477,-0.94605163474692,-0.551707412549068,-0.157363190351216,0.236981031846637,-1.90150942815563,-1.22769952995813,-0.553889631760641,0.119920266436852,0.793730164634344,0.0991309573714572,0.157439006478283,0.238255573062419,0.336343530189168,0.439161757474975,0.146705725940926,0.18901112531747,0.238918920461336,0.294810237932298,0.353965441345283,0.0995151658368303,0.157694252887524,0.238780340021852,0.336789623068722,0.437695354337432,0.133468751492666,0.0747828575055412,0.0366488983935701,0.0711751751337175,0.129463381626827,0.104100136074464,0.0615655993445759,0.0364034742496791,0.058664368019204,0.100693636519859,0.179706787793213,0.0973172326343679,0.0375067699540656,0.0900159522156006,0.171927267617135,0.00909729233827663,0.00745063483198684,0.00518206808525606,0.0106908417384923,0.0195317293731796,0.00972673661747777,0.00703134529908019,0.00501895390497432,0.00837135727118441,0.0147182113465341,0.0121784961228139,0.00960158489041916,0.00549283529102208,0.0132043054796193,0.0247988356941747
800,0.25,80,3,0,1,2,3,4,-2.30371582991067,-1.49731291504621,-0.690910000181745,0.11549291468272,0.921895829547184,-1.53848186555918,-1.10501874833398,-0.671555631108776,-0.238092513883576,0.195370603341624,-2.16176337464028,-1.42526793733637,-0.688772500032446,0.0477229372714731,0.784218374575393,0.0838885029834016,0.137162502075763,0.223095529671521,0.33996630327231,0.469789363904494,0.139917129715745,0.177288529110543,0.225967513254655,0.285462694035827,0.353480285358545,0.104147478940952,0.148493578258999,0.221520109385985,0.322064284190205,0.436715634369869,0.446350599297845,0.251585950574688,0.116317253864839,0.223453566885403,0.415332239957393,0.314925802706434,0.188071151685156,0.113619116438771,0.178308434412762,0.303355469018428,0.516241220816972,0.282268924282993,0.117485347198272,0.262461771772308,0.494899858681087,0.0235872273106719,0.0214345966420086,0.0161001985106571,0.0317441946367226,0.0604584959324228,0.0263458209614962,0.0199736635199918,0.0154482723033977,0.0245324398074291,0.0436602357520154,0.0321998743617018,0.0245577625794391,0.0163250978745484,0.0362313551047437,0.0692185878429768
8000,0.25,80,3,0,1,2,3,4,-1.9744372103366,-1.29894662766153,-0.623456044986459,0.0520345376886091,0.727525120363677,-1.40209047479385,-1.01424452318283,-0.626398571571816,-0.2385526199608,0.149293331650216,-1.97986174345041,-1.30713633752596,-0.634410931601505,0.0383144743229482,0.711039880247402,0.0951182355614175,0.151771788305147,0.232716345055461,0.331449766399185,0.431318632705753,0.138336725102898,0.180302407919826,0.230696420087314,0.287839557404881,0.348572624078265,0.0926284273808609,0.149661955632576,0.231442793079224,0.331794539125499,0.434375228241716,0.140449735413062,0.078611771251302,0.0373423011214078,0.0732805485713899,0.134560709781544,0.106712080029116,0.063507924126216,0.0371900412833715,0.0586259008941728,0.10097003358326,0.191211527716082,0.103660033926285,0.0382237728100251,0.0933210097149589,0.180246122767619,0.0087974521238163,0.00726838755068682,0.00511314737664989,0.0105604903955204,0.0179024671944919,0.00937039332089097,0.00684558832819191,0.0049544498157593,0.00834552162154988,0.0145751722325099,0.0116720757515399,0.00944293000342692,0.00537141895585662,0.0129867852611256,0.0237959469907963
800,0.25,80,4,0,1,2,3,4,-2.36953435035661,-1.4747561433976,-0.579977936438581,0.314800270520434,1.20957847747945,-1.12397925869715,-0.844343646263995,-0.564708033830838,-0.285072421397681,-0.00543680896452337,-1.50911822137107,-1.03697190130632,-0.564825581241565,-0.0926792611768146,0.379467058887936,0.11748491810679,0.161862912715553,0.240535165410867,0.341915423141969,0.433522702592261,0.198781252707905,0.21793725424024,0.240926114542488,0.266885247077547,0.294672440040941,0.17340646501244,0.200820972508583,0.239562893569617,0.286253728716372,0.335404634980158,0.431342286969232,0.23775973364396,0.112816786372128,0.233773346561386,0.4269622252237,0.322806441790704,0.190456086183358,0.111723578203355,0.181190260081525,0.311956371997481,0.531546956144858,0.287869658042573,0.113133547108754,0.268947848042042,0.511341545815181,0.0284833298854037,0.0217460042739075,0.0159846860293161,0.0319765337472218,0.0473462274779184,0.034420934160115,0.0226881368462757,0.0156447968965318,0.0239691960410523,0.0400284679991079,0.048697739908841,0.0310958956140788,0.0165813284172153,0.0352704682550179,0.0631021259082229
8000,0.25,80,4,0,1,2,3,4,-1.95692645458451,-1.30270344641495,-0.648480438245389,0.00574256992416955,0.659965578093728,-1.3652476648166,-1.00526589400342,-0.645284123190244,-0.285302352377067,0.0746794184361095,-1.83459988716314,-1.24059642520634,-0.646592963249536,-0.0525895012927358,0.541413960664064,0.10888804624194,0.162394716473046,0.236005451301237,0.325128736339526,0.417690278199458,0.157194854559437,0.193544217094395,0.235798146805458,0.282910929776761,0.333054555102676,0.117503324223911,0.168055354568196,0.235257653022802,0.31566492408542,0.400654731928741,0.132839039567435,0.0746266767589349,0.0367047475399929,0.0705726806694674,0.128331349166065,0.0994408934253774,0.059321719247859,0.0364105579129081,0.0575193736427957,0.097300129623309,0.161881255248591,0.0874937280456879,0.037057433922332,0.0857895313286249,0.16004662844735,0.00948516817175145,0.00747953969941576,0.00514127632523347,0.010163632636121,0.0180654173865391,0.00979705223316418,0.00692555241139603,0.00497391808706673,0.00807059223772845,0.0140777949297014,0.0127786139731128,0.00928995524046867,0.00534455885386203,0.0123379010028815,0.0235130710983992
800,0.25,80,5,0,1,2,3,4,-2.04582433638754,-1.33527470120468,-0.624725066021832,0.0858245691610207,0.796374204343873,-1.29515936260237,-0.956504089876449,-0.61784881715053,-0.279193544424612,0.0594617283013072,-1.69415086777819,-1.15691991795928,-0.61968896814037,-0.0824580183214596,0.454772931497451,0.119188350790856,0.171117866139907,0.247899747887591,0.342426668258181,0.434925582548261,0.197080383625902,0.219682668752766,0.248479661887447,0.282295614319097,0.319132252864159,0.179027498530457,0.206774607828987,0.250169587300493,0.305478541655576,0.364399989822993,0.416781488984806,0.231911987650278,0.112230171089428,0.223928857945936,0.407956782478891,0.29449967264336,0.178185439872284,0.111641140874214,0.169915088343257,0.284556197815969,0.449426179547692,0.250181112231413,0.113396051189127,0.229756648188154,0.427058482881972,0.0305612189838944,0.0237666670092896,0.0162270562727296,0.0321278900813482,0.0507299641710783,0.0362541549323613,0.0234992888950532,0.0159845628654844,0.0243703850365287,0.0401342694805212,0.0552986746411569,0.0332208416875764,0.01701789961884,0.0337784267296854,0.0582299120240165
8000,0.25,80,5,0,1,2,3,4,-1.9714346776791,-1.30405081749951,-0.636666957319914,0.0307169028596803,0.698100763039275,-1.35585325696038,-0.994806605931023,-0.633759954901667,-0.272713303872312,0.0883333471570431,-1.80965870980481,-1.22157184810167,-0.633484986398524,-0.0453981246953803,0.542688737007763,0.108676238169004,0.159013741328914,0.230543155926234,0.319331568555044,0.413615010762726,0.154006931765022,0.189556551080283,0.231821885270288,0.279959349706912,0.332309097903113,0.117718827017526,0.165065114491099,0.230018728159915,0.310018506201195,0.397395759453295,0.129056545604836,0.0719528133061287,0.0365479222157785,0.0716325470043122,0.128699731385772,0.0958173648267486,0.0572107965726376,0.0362766635047928,0.0575302582475948,0.0961991587357222,0.15466890248839,0.083006849206954,0.0369082890700634,0.0856663513720719,0.157542511346106,0.00960028883239674,0.00724510466107978,0.00512418438229944,0.0103799581098259,0.0187695125375019,0.00937872936831141,0.00663917957327458,0.00497972772033744,0.00815805301877655,0.0142315416870341,0.0123069441552761,0.00860659253287196,0.00541637608042231,0.0124429511073759,0.0235682916533322
