"n","vare","B","seed","a1","a2","a3","a4","a5","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.OG.5","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.NG.5","est.CG.1","est.CG.2","est.CG.3","est.CG.4","est.CG.5","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.OG.5","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.NG.5","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","ste.CG.5","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.OG.5","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.NG.5","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4","bcs.CG.5"
800,0.25,80,1000001,0,1,2,3,4,0.0803642861100498,0.139058385977783,0.239420912192363,0.373184107207004,0.504728166208022,0.103662310101949,0.158068853979013,0.240524319884235,0.343756975698752,0.445328404221621,0.0710829777193249,0.124745643841151,0.230469493502916,0.379005762280885,0.51033222716144,0.0168332670762885,0.0175637346738656,0.0165665031364588,0.0249242079702464,0.0385618266436661,0.0212241966885233,0.0204463639763409,0.0171814417201117,0.0221840186517268,0.0336868424148615,0.0195358705304221,0.0222962030073673,0.0197485746358577,0.0252699436070002,0.0389550805203651,0.0169577541125224,0.0176120273784303,0.0165530618182547,0.0251660818877515,0.0390739195334711,0.0211449360613947,0.0203976179941614,0.0171326441398671,0.022395068253682,0.0340116297978744,0.0195626033339623,0.0223930273270838,0.0197560334650733,0.0255646302032381,0.0393459143769441
8000,0.25,80,1000001,0,1,2,3,4,0.101217279743516,0.156432633148382,0.234694445380302,0.328856366169772,0.422481839396315,0.132513515204696,0.178304872398908,0.235319198647107,0.300361748978459,0.367612116684158,0.101130661335903,0.155522303539627,0.233345729174706,0.327484087491349,0.421011212268741,0.00750213295417742,0.00647219444223021,0.00514417589053956,0.00843974872357275,0.0137933017564391,0.00815283903556027,0.00642250807109832,0.00502593938431528,0.00749028255825685,0.0122904375590898,0.00922418498761138,0.00768727823699954,0.00533133208417639,0.00958057098601988,0.0165236667109786,0.00749323071315799,0.00646741673812419,0.00514464306830877,0.00845312885891784,0.0138014554546134,0.00814415943213099,0.00641735654450562,0.00502586581649979,0.00749796543890054,0.0122967922715899,0.00920978227410682,0.00767981667536134,0.00533314555363771,0.0095962287293829,0.016527691023501
800,0.25,80,1000002,0,1,2,3,4,0.0930375060954548,0.146810361543606,0.223995213414105,0.318422265727176,0.414156839058844,0.111067530711215,0.159322071200101,0.222322598311051,0.296385678852147,0.37374117476656,0.0709980823454202,0.124611337838185,0.215203000608114,0.334339811625708,0.449050649447316,0.0248954264186728,0.0219683184707925,0.0160186115439523,0.0279500144794851,0.0484418159505648,0.0247879327054475,0.0205099119006541,0.0156242027525062,0.0236003880737576,0.0407271309590826,0.0277762818946882,0.0278927432972075,0.018267562124418,0.0327189272082529,0.0589006977240147,0.0247286069915711,0.0219613524055945,0.0159977927573848,0.0285088234769195,0.049098944301957,0.0246109184161785,0.0204134519204845,0.0155615405062281,0.0238392542209375,0.0409928691700373,0.0278800178264456,0.0281444737462363,0.018467488315416,0.0339165333501764,0.0607544807713653
8000,0.25,80,1000002,0,1,2,3,4,0.119240917905455,0.172410187741785,0.243112847613639,0.325873538097753,0.409505716714814,0.148701165096132,0.192082883974715,0.243992720027293,0.302065365453252,0.362366168723188,0.118536781155101,0.17190774760866,0.243234407208074,0.326863004398076,0.411208652204848,0.00820236124581406,0.00667987472005088,0.00511389408976408,0.00841001223883085,0.0137618569428175,0.00833637822152921,0.00637466533577731,0.00503965267329967,0.00753940398358481,0.0122052440539874,0.00961946348403817,0.00758683708463588,0.0052780927291028,0.00967292956245726,0.0163757881473611,0.00819805547429617,0.0066773235655613,0.00511436969102362,0.00842306356435578,0.0137767208691476,0.00833427525958067,0.0063726428099235,0.00503989361036359,0.00754754309986895,0.0122170068164986,0.00961658680190875,0.00758533714048689,0.00528032338464897,0.00968994463667253,0.0163945903633621
800,0.25,80,1000003,0,1,2,3,4,0.12825283314525,0.18717801208168,0.263671414286457,0.350014199805779,0.433911784324937,0.129081488455505,0.186893392328271,0.259793774318396,0.343000662798457,0.428601900479114,0.0917454733038476,0.159902804264887,0.259060728782049,0.378550633269234,0.497043542302054,0.0296297329064979,0.0226335683102681,0.0165992215187195,0.0286674097999093,0.0465900247941701,0.0253742773172274,0.0207922232840808,0.016573928866904,0.0250964168043189,0.0421226918339345,0.028980800303281,0.0261879878789619,0.0179278813293073,0.0320958312000606,0.0593812550451724,0.0290920199413393,0.0223200001518871,0.0165297521629697,0.0288437509330055,0.0463234548444858,0.0251114523018427,0.0205305100207478,0.0164568475521292,0.0252534167981148,0.0419752149197836,0.0289841922670412,0.0261371144586966,0.0177921967092901,0.0323528603517525,0.0594701028197304
8000,0.25,80,1000003,0,1,2,3,4,0.0975686038891518,0.156369078999571,0.239843123310568,0.341178916438701,0.443752486176453,0.126853109811854,0.177404400464449,0.241182674398431,0.314730783722966,0.391356881935395,0.0905054643999594,0.151521258452161,0.241463817726848,0.351607884991263,0.460385121059183,0.00737811939407466,0.0064889064752305,0.005113703312433,0.00865562144530399,0.014304356325236,0.00795000532008927,0.00637772534720056,0.00504985635622952,0.00781487828535834,0.0128629439813904,0.00914151693264417,0.0079093754577819,0.00540838777596772,0.0108905827060917,0.0182546263242718,0.00736933681632603,0.0064823048736061,0.00511147376932775,0.00866926374138064,0.014309618003464,0.0079421393681121,0.00637167504505361,0.00504827735944208,0.00782356552157053,0.0128703338920835,0.00913023826398948,0.00790237127202994,0.0054047170771084,0.0109082383271391,0.0182565517705237
800,0.25,80,1000004,0,1,2,3,4,0.0939745328936438,0.154076535998874,0.2430031481797,0.351404666169169,0.456327299790279,0.133307609068412,0.183775031475397,0.247084875900606,0.31933333930331,0.393360087562755,0.0587090884542268,0.108214459718201,0.246573011643177,0.443174722373048,0.541296016474912,0.0309915568668446,0.0247542483465141,0.0159388468979031,0.0316598755852393,0.0555497367617266,0.0274696793183509,0.0213870212695815,0.0158179110759765,0.0260053937304989,0.043724406145322,0.0220691518437587,0.0218075481740424,0.0160786759643512,0.0258053611955358,0.0437985891883595,0.0301236078187606,0.0243511604351038,0.0159193364027557,0.0321468902620418,0.0552292353180023,0.0274341260377248,0.0213315983602409,0.0158101040880232,0.0264133223812248,0.0442930800553326,6.80637373159453,6.37385331394802,2.36438235159456,4.60227628224708,11.4180580831418
8000,0.25,80,1000004,0,1,2,3,4,0.112612134967707,0.168475735768005,0.244366851676303,0.333673548665117,0.422583439681707,0.14488047199216,0.19036022063486,0.244775909956182,0.305924980399901,0.37003926763994,0.111044858561225,0.168034052673821,0.244479280952842,0.334802166120468,0.427230494784958,0.00888464637227943,0.00713891381829102,0.00510949036302654,0.00858320957991092,0.0144570077206731,0.00899672775126524,0.00681131147890045,0.00507199476443927,0.00767951120670023,0.0130631381361548,0.0107526928854344,0.00849615322269749,0.00541729254237169,0.0103425417122572,0.0188667385349825,0.00886256525664634,0.00712722441055675,0.0051077113180877,0.00859677937836644,0.0144597959544078,0.00898463041195159,0.00680193792587959,0.0050697784759091,0.00768826303105387,0.013068419907772,0.0107275623567428,0.00847722719520164,0.00541065151831121,0.0103601965961943,0.0188585163971351
800,0.25,80,1000005,0,1,2,3,4,0.104845251891683,0.165049105857209,0.252847003741565,0.358551101066254,0.460058743141413,0.15317445131086,0.197095297756222,0.252432905318532,0.315595692373538,0.379927052620066,0.12150322895575,0.173940938421637,0.250683274276788,0.343394015501419,0.432220228459335,0.0258200690740688,0.022362462729634,0.0168657094420736,0.0285857684455475,0.0447747801478344,0.0273322585088189,0.0210721200087412,0.0161589262936645,0.0230403405859473,0.0361310400046589,0.0314278944281151,0.0252233706078057,0.0171249389551945,0.0283413169671574,0.0452832747555589,0.025672581969509,0.022324809128329,0.0168310431472305,0.0289384745481702,0.0451280194217053,0.0273296963230178,0.0211057968509846,0.01616307547193,0.0232800955017366,0.0365891039089363,0.0312359370415367,0.0253102462818576,0.0171595577794013,0.0287478752166858,0.0458497117242882
8000,0.25,80,1000005,0,1,2,3,4,0.0984146016817705,0.153398622098334,0.231636344719389,0.327174222428716,0.424320046907884,0.13090756572196,0.176881318334483,0.23420463314588,0.300024314553077,0.368763609910328,0.0995217432156192,0.154888087600477,0.233602084786925,0.329216834477341,0.425356621275595,0.00779105080534974,0.00671802584889689,0.00508552941902377,0.00844443824766489,0.0143063212138447,0.00832852894121241,0.00649906996259768,0.00499603322253563,0.00751889823505535,0.0124896447561378,0.00956056606619845,0.00782261381382544,0.00528503104759909,0.00970138953573546,0.0169085082836547,0.0077751390155944,0.00670864638290963,0.00508324254786447,0.00845765923882066,0.0143100100689398,0.00831460831461402,0.00649078943130468,0.00499462034518709,0.0075267425440857,0.0124957111669136,0.00953122588544011,0.00780629348254413,0.00528197491096118,0.00971721756897202,0.0169050563809037
