"n","vare","B","seed","ghat.OL.1","ghat.OL.2","ghat.OL.3","ghat.OL.4","ghat.NL.1","ghat.NL.2","ghat.NL.3","ghat.NL.4","ghat.CL.1","ghat.CL.2","ghat.CL.3","ghat.CL.4","ghat.OI.1","ghat.OI.2","ghat.OI.3","ghat.OI.4","ghat.NI.1","ghat.NI.2","ghat.NI.3","ghat.NI.4","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.OL.1","stde.OL.2","stde.OL.3","stde.OL.4","stde.NL.1","stde.NL.2","stde.NL.3","stde.NL.4","stde.CL.1","stde.CL.2","stde.CL.3","stde.CL.4","stde.OI.1","stde.OI.2","stde.OI.3","stde.OI.4","stde.NI.1","stde.NI.2","stde.NI.3","stde.NI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4"
800,0.05,75,7000001,0.291127014745483,0.189456679065791,0.0626648232555625,0.402235001983046,0.286819632615733,0.138793782259552,0.0522029921761823,0.390748785399441,0.288547110478788,0.237522974750705,0.0986406041798561,0.378192846351303,0.411810705459232,0.132743359864073,0.0238805556785726,0.238898702073775,0.408413555410231,0.14128582969762,0.0717457285880689,0.25716375813651,0.396806586286632,0.164177170702492,0.0282179722803232,0.266922330014776,0.0418477853058802,0.105730040949052,0.110043279910623,0.108319931100233,0.0416980511813909,0.0912773920160466,0.0930395858216205,0.10906282036557,0.0445711518683846,0.151601186963971,0.150293274776829,0.110125330640621,0.0327425656126534,0.0765807439663462,0.0767878365087954,0.0620890321003241,0.0269851991556098,0.0585451189809062,0.0571161340981378,0.0590781681578748,0.0379985366823057,0.107537878588093,0.095983979208622,0.0625639795992177
8000,0.05,75,7000001,0.394004592632781,0.129893292560531,0.135721118163328,0.184529849645658,0.398426317697086,0.0776166115515869,0.103096477982025,0.179480243692223,0.403617186160281,0.125131294359001,0.158417055983543,0.180916365479298,0.448506852258835,0.194660816468048,0.154893939023681,0.152758565013973,0.444989594285257,0.126401966000414,0.074009010433711,0.165773207795802,0.425535272454388,0.227047845493606,0.0962438051071215,0.166803390067004,0.0133349852683934,0.0341763571803638,0.0348843597123432,0.0345068392365132,0.0131050271199245,0.0279530178609297,0.0287123761065523,0.0345902915535831,0.0139841098263452,0.0426148574990344,0.0440351817358727,0.0346487279733049,0.0110190402035233,0.0256677560342429,0.0234967847305134,0.0229317253852581,0.00851449068154865,0.0179918341512332,0.0180031429024736,0.0203099522436099,0.0117117121625963,0.0308990587175456,0.0334148188622513,0.0240910642830773
800,0.05,75,7000002,0.343051528631201,0.214082709266629,0.110752531813179,0.235869307395284,0.336530568069915,0.231750711687429,0.0375289054829591,0.237569667306262,0.326180915210063,0.366915751857578,0.0571734943432567,0.23973824918018,0.461966314286147,0.308654675605597,0.222662100545414,0.131708275672344,0.454759654582106,0.204666883350835,0.0915872730114929,0.138812355714861,0.435803894976985,0.388996303160366,0.177950237593834,0.14904668566266,0.0465441949661656,0.108287236897674,0.111207540902742,0.133292007374252,0.0452489444333617,0.09569907009222,0.0900712186713117,0.132755077385547,0.0490797459844333,0.153610186461771,0.134972479355274,0.134446926219734,0.0344140480309998,0.072603840498445,0.0674616118823114,0.0857964481590392,0.0300530239978291,0.057942624847942,0.0544205729164034,0.0898891714015573,0.0403941232970332,0.0887931412799443,0.0846589216740764,0.0983024931386853
8000,0.05,75,7000002,0.410004349280604,0.124090409317585,0.117655412428636,0.203152698592945,0.407023844282339,0.0753158926807644,0.0764076536791878,0.209315911099642,0.408780606242866,0.125036447792833,0.11748672071828,0.20909689695315,0.444489605209702,0.209994143493871,0.129630122605965,0.167401078366642,0.453399845850305,0.126604113854745,0.0896793002191151,0.177774074994142,0.442588152859909,0.194617610857309,0.135098357681762,0.159331183521136,0.0138376099715276,0.0351081036841291,0.035590857844024,0.0361099590766668,0.0135323654493727,0.0291615091609741,0.0289647694718134,0.036037335557538,0.0144876426050717,0.045511848168947,0.044123589180426,0.03607178925366,0.0109500181088869,0.0314181676743757,0.0237717454412152,0.0216806316956634,0.00881260440902913,0.0181758470888929,0.0181796668932856,0.0204410754039784,0.0176421975445783,0.0385556656811085,0.0478388547733744,0.0281898269569497
800,0.05,75,7000003,0.336008246011136,0.191859806830532,0.0192620417928324,0.428917286056586,0.33977710927064,0.126572573468975,0.0190197796194595,0.412605635383646,0.338118474312586,0.198445914577295,0.0271913565289413,0.422734679316147,0.398228199108018,0.242212626698362,0.0300478143156905,0.205268280621153,0.401713028402033,0.125388322743013,-0.0550228560023254,0.219152189293354,0.38213563978055,0.278610528273612,-0.00988173894100328,0.188191440243668,0.0384943516710213,0.102135536455838,0.11144566745206,0.101663801557061,0.0379728008542903,0.085975618592175,0.0867123650673879,0.103107069360811,0.0412868387343498,0.131998052527537,0.133055876270828,0.105035328643098,0.0289098012393638,0.0675935497968923,0.0659151725624614,0.0684777334660541,0.0270967437353266,0.0544609513682575,0.0559273566857391,0.0660590513500352,0.0367782089450975,0.0856539681557041,0.0882059112706208,0.0732568581447165
8000,0.05,75,7000003,0.409606763063221,0.119838619710393,0.135071687531094,0.197636832587301,0.406197669875708,0.0565812808657618,0.0900060140672409,0.197667410053884,0.407398590492154,0.0928466081896345,0.13825307601421,0.19464548248478,0.463295249154849,0.163291369400219,0.159866576302006,0.168281437853386,0.470977074356802,0.108059077285738,0.125458932460266,0.186706645410856,0.473002005331612,0.129973529989604,0.189809972997448,0.169911069980278,0.0137896770367032,0.0354113544433992,0.035456837860079,0.0358929248661024,0.0134375907211558,0.0290803723071916,0.0292601266064098,0.0359770714700058,0.0144405660958626,0.0450012863427136,0.0453679778145526,0.0360222758558501,0.0105238429764857,0.0258111967154542,0.026325224574355,0.0238275518155337,0.00862504362167992,0.0182815161482203,0.0184552251734378,0.0205943514801897,0.0129061228715606,0.0368429550347522,0.0356239306495276,0.0264724748969844
800,0.05,75,7000004,0.393593994013866,0.0968820706264692,0.0652874905342062,0.0800820306276619,0.390630336059632,0.065171749648839,0.0385923124237664,0.0692445339804456,0.386479606237386,0.0980482656072625,0.0627592366267002,0.0693862097159059,0.462318895704047,0.174759557430368,0.0774588991248701,0.124020881719263,0.49085894494042,-0.00470499174637173,0.0619133629351307,0.171670750532803,0.512203091937735,0.00657498487089888,0.123643545622025,0.138098208992995,0.0431785320856662,0.113081442307612,0.119926609589249,0.125510594313625,0.0420334855668813,0.0937752954078637,0.0953576666998074,0.125011374845536,0.0460619997978295,0.144368204810188,0.148643789545144,0.125355580472641,0.0287917861001457,0.0690276385783975,0.0682503086653626,0.0685445395047038,0.0270165719981984,0.0570670872398514,0.0529164024087729,0.0657200509251159,0.0343973907763935,0.102653654109816,0.0886205482704786,0.0693057478017513
8000,0.05,75,7000004,0.3877132737083,0.111749664483236,0.0865450144901238,0.222280047855919,0.389471760910796,0.0506502713277162,0.0755363972110209,0.221916677872692,0.39325997520976,0.0792633616105983,0.117535622469794,0.220653520234742,0.44466910198035,0.169627646117595,0.0965439096555769,0.157265656284824,0.455436611170863,0.111404447331184,0.0924157403009993,0.149784173632554,0.441239110184219,0.154225540667533,0.11331000038075,0.165069461061802,0.0136915492304324,0.034344268684445,0.0359260833334942,0.0361244233173629,0.013444970919932,0.027862398475077,0.0291203251305538,0.036285042604864,0.014307124329756,0.0418737156243628,0.0450091495951679,0.0363700841814131,0.011481554036915,0.0264366707588767,0.0267605505887096,0.0246268756645794,0.0088394680510443,0.0182514234099529,0.0185601950383469,0.0213385821556101,0.0129537102318641,0.0344387212836465,0.0330735198432253,0.0263268006950323
800,0.05,75,7000005,0.479782343215786,0.065789073827392,0.264509356770625,0.053459466240621,0.471159308062774,0.0615301787711909,0.273061670942601,0.0597309199728445,0.476424057090868,0.088861940098094,0.384217522993721,0.0581912280029043,0.438070842749807,0.305239795762732,0.143415154213391,0.0624152344066377,0.462884564495958,0.165886929458616,0.113932593318034,0.0548388067158147,0.475142444382198,0.201547283304158,0.170127292624005,0.0303134028882571,0.0430399266272285,0.11674935127464,0.105749195649861,0.11359522768802,0.0422325109464607,0.089902781687356,0.0866359358964595,0.113781857507099,0.0441450076695967,0.136821001855231,0.130757124284977,0.115256124395155,0.0294344867093759,0.060219680062948,0.064317761038394,0.0638501902374751,0.0289768901151956,0.0602370048189252,0.0597637367641136,0.068244532947598,0.0420405365907774,0.117732322683352,0.100121953030246,0.0778200287464813
8000,0.05,75,7000005,0.42590273684474,0.108870522188051,0.190206177885062,0.142413560464563,0.42787249814374,0.0658572069075096,0.163350899512835,0.138660521499118,0.434874681242109,0.105496789984588,0.246821303744539,0.133028535831153,0.420145728022854,0.254709122325463,0.143079190349519,0.124992942823909,0.445577386768913,0.142126887062096,0.128378252101616,0.164021543039414,0.426855238218175,0.259591185320626,0.186770557207675,0.138860678884008,0.0135602369510119,0.0353132871889083,0.0347772102581351,0.0369851995309672,0.0132577642365598,0.0279286530214686,0.0279658000107036,0.0370777237847377,0.0140812719555174,0.041805785929116,0.0422086738930471,0.0371151735772471,0.0204228972965159,0.0599350967952607,0.0329075915894688,0.0310592871448166,0.00879780931426566,0.0184602691475347,0.018183512222436,0.0210866734412887,0.0161352439831781,0.0451547005803508,0.0428622780679857,0.0304389657628761
