"n","vare","B","n.supp","k","seed","ghat.CI.1","ghat.CI.2","ghat.CI.3","ghat.CI.4","stde.CI.1","stde.CI.2","stde.CI.3","stde.CI.4","bste.CI.1","bste.CI.2","bste.CI.3","bste.CI.4"
800,0.05,80,5,2,7000001,0.403808078995324,0.159047530480424,0.0587426105434285,0.254243696048477,0.034956718599154,0.123956575861884,0.0625874139765515,0.0632517665051144,0.0351932915259101,0.125527926105261,0.0629438372649642,0.0634525182502571
800,0.05,80,5,6,7000001,0.394612125386265,0.152235062647615,0.0147286085912872,0.27160499242325,0.0398092845817865,0.0941789677727401,0.103847405197519,0.0612622839381499,0.0402082027038775,0.0950162790322712,0.104895332114181,0.0613745583514087
800,0.05,80,5,10,7000001,0.404118685884673,0.134976847855174,0.0420818274347306,0.264750136677449,0.0365909865849893,0.118690414989254,0.109304236231636,0.0658046577868387,0.0369483355383235,0.120079798257822,0.110916905526801,0.0660314879164371
800,0.05,80,5,14,7000001,0.39782685828172,0.150038332567547,0.0293806544022296,0.266119423239034,0.0379427017869303,0.0993941048334551,0.0928340933625151,0.0611760271554261,0.0382901721618538,0.100359620037128,0.0937220557153612,0.0612976227502915
800,0.05,80,5,18,7000001,0.399102488035164,0.133264130834231,0.029304480545085,0.268328083104787,0.0374206304194715,0.110205385475722,0.121788626061938,0.0653223179996425,0.0379054096854812,0.111681897314887,0.124034442906835,0.0655101097043599
800,0.05,80,5,2,7000002,0.418684687704819,0.46156399301504,0.191584116516448,0.135185599877404,0.0496415641838902,0.193626344897621,0.145211114284307,0.137209695552849,0.0511747636114929,0.196739157528185,0.148695536148752,0.148087493122942
800,0.05,80,5,6,7000002,0.449010643972936,0.3027431510126,0.15924838712759,0.141688950770389,0.033820777063833,0.0682977667334576,0.0651307473572654,0.0965638920937288,0.0343248332754509,0.0686045380932519,0.0654645552146241,0.100994663133499
800,0.05,80,5,10,7000002,0.449575834213034,0.315487512320508,0.169883256955679,0.142858490067649,0.0358798131658047,0.0713545261906007,0.0743663868198326,0.0934833883989903,0.0363527812299749,0.0716954318526756,0.074843544972749,0.0973544287068898
800,0.05,80,5,14,7000002,0.427519651813686,0.414074840933083,0.164506238047205,0.150395776057812,0.0412508076229266,0.0971140527087102,0.0814007629832693,0.102271257289399,0.0419360052166957,0.0979327819250405,0.0819348160798372,0.106895407207431
800,0.05,80,5,18,7000002,0.440894222228168,0.367715387514349,0.17434289217769,0.139815485894037,0.0393028410234514,0.0842237722705616,0.0822480509646933,0.0978366906905791,0.0399169209124947,0.0847408340041573,0.0827910831490366,0.102452305173785
800,0.05,80,5,2,7000003,0.380159574838497,0.289146623735602,0.00250182095781356,0.19853002072677,0.0466333468161495,0.0885917188469241,0.1295161413744,0.0798312997151803,0.04853316618714,0.0910857616696688,0.137873398262112,0.0804896266160198
800,0.05,80,5,6,7000003,0.34945341936589,0.353781556589665,-0.0500250678539703,0.198041400396207,0.0436004693059642,0.102373545497162,0.0973218959085937,0.0811642350607534,0.0441254219334911,0.103460913673635,0.0998597722422846,0.0819680744953463
800,0.05,80,5,10,7000003,0.378376806112798,0.308705501309396,-0.00338648960533555,0.188922156088231,0.0385437815708071,0.106249039974102,0.0906530308923048,0.0770340026531117,0.038722474112207,0.107016096663356,0.0911960468119352,0.0775716208473677
800,0.05,80,5,14,7000003,0.379468062949633,0.287733279472171,-0.0126693703552256,0.187977002604441,0.0365522366612031,0.0927552848859136,0.0840728435969578,0.0744533546876321,0.0367142706700354,0.0933892347467598,0.0845725691364253,0.0749058443490281
800,0.05,80,5,18,7000003,0.391874774100114,0.265294436578322,0.00336780795889148,0.188797769742326,0.0384283924248988,0.0933652904798074,0.101266519150455,0.0755120188935997,0.0386296409772465,0.0940166691150138,0.101968431776574,0.0760145284319695
800,0.05,80,5,2,7000004,0.583424998529678,-0.0743102878175997,0.345249237392458,0.121363145222114,0.102852879557985,0.205686992495758,0.357359418540548,0.0945949820617953,0.113871879899555,0.221358701284069,0.39677049240326,0.0955274810610207
800,0.05,80,5,6,7000004,0.524389419629857,-0.000743626885389223,0.160612416813918,0.135767761034877,0.04581220000122,0.148850890751526,0.114355156244329,0.0755298234611821,0.04843413165307,0.159500114605916,0.117654414504677,0.0766565004730858
800,0.05,80,5,10,7000004,0.584750937269824,0.171670939822209,0.280199517500642,-0.0880152819337521,1.72183530004548,4.15571258542425,3.51006151249399,1.14789586685928,1.72901063045895,4.18589228450853,3.51833973683166,1.15142248502087
800,0.05,80,5,14,7000004,0.525642454695517,0.00166989819917575,0.160042191522785,0.119795658047231,0.0413605219220964,0.156810451401594,0.0982482700388259,0.0788528095270104,0.044180413967986,0.171553578848944,0.0994692774142279,0.0805690127407365
800,0.05,80,5,18,7000004,0.519734595923512,-0.00462371973959006,0.142076858890611,0.136083814565511,0.0414732368308369,0.124316073855958,0.107303902509015,0.0724199481112282,0.0429541711873702,0.130463343883092,0.110134886832198,0.0730416661620754
800,0.05,80,5,2,7000005,-2.29301734805821,0.848616336843729,-2.98207157869401,-1.01467010021551,21.7643613851867,9.1308130271715,22.4533042436066,8.74313436118695,29.6914844852114,11.9372734702639,28.4138098826716,12.2905974168207
800,0.05,80,5,6,7000005,0.474558063386999,0.24837509660743,0.200961297341979,0.0378423169452174,0.0417167087991045,0.130610621006103,0.110913199540954,0.0806638374382404,0.0423044997493494,0.135995981240018,0.112050824702627,0.0811471871400489
800,0.05,80,5,10,7000005,0.488265037296429,0.210419436838235,0.24558429887462,0.0411730927475151,0.0404893785547449,0.094914674931853,0.112917150047023,0.0765900234641457,0.0409194723146334,0.0973952565005872,0.113950746095205,0.0770199989542875
800,0.05,80,5,14,7000005,0.473495239749154,0.202151624207028,0.155224000022309,0.0331731198273824,0.0375989594085993,0.104346453963522,0.0847694092119769,0.0748967966021245,0.0379935140534161,0.10746531074162,0.0852554091660264,0.0752103643850948
800,0.05,80,5,18,7000005,0.482314150845136,0.17741597123473,0.175524164527219,0.0265212040502324,0.0394646019688229,0.0987407172169994,0.0918740810083866,0.0741274289049455,0.0399094524607041,0.101197724249332,0.0926143248863755,0.0744164617956513
800,0.05,80,5,2,7000006,0.448722084335337,0.143881551706889,0.16359787792249,0.0774580804054852,0.0405939639308343,0.0628505435614991,0.114308456646454,0.0686253298336607,0.0411378620697856,0.0633123466155117,0.116045304008458,0.0687281439583122
