"B","psi1","psi2","psi3","psi4","psi5","psi6","Time"
1,-14.5396857042909,-87.2875368272213,-10.3605721614742,-13.9548537150782,-36.6607349888793,-103.247062909409,0.00258493423461914
2,-14.5396857042909,-84.3098313692643,-10.3605721614742,-13.9548537150782,-35.2600856993122,-97.3162877678799,0.00386714935302734
3,-14.5396857042909,-83.4621123620954,-10.3605721614742,-13.9548537150782,-34.793600024512,-95.9700776886594,0.00727486610412598
4,-14.5396857042909,-84.2595130361849,-10.3605721614742,-13.9548537150782,-34.63530607423,-95.76167246085,0.00783705711364746
5,-14.5396857042909,-83.8693935213099,-10.3605721614742,-13.9548537150782,-34.7624200960025,-95.6441459195905,0.00946879386901855
6,-14.5396857042909,-84.8753896876175,-10.3605721614742,-13.9548537150782,-34.9525485842446,-97.847881064299,0.0108129978179932
7,-14.5396857042909,-85.4950186497168,-10.3605721614742,-13.9548537150782,-34.3786875506904,-98.6219164633897,0.0124320983886719
8,-14.5396857042909,-84.5368528961095,-10.3605721614742,-13.9548537150782,-33.4211621842322,-97.1480673343746,0.0224869251251221
9,-14.5396857042909,-84.859830831774,-10.3605721614742,-13.9548537150782,-33.3187529188596,-96.8490954123844,0.0157990455627441
10,-14.5396857042909,-84.4736420565336,-10.3605721614742,-13.9548537150782,-33.3136910356216,-96.2239933700689,0.0160660743713379
11,-14.5396857042909,-83.9430868425542,-10.3605721614742,-13.9548537150782,-33.3032698116358,-96.2769841587401,0.017117977142334
12,-14.5396857042909,-83.6520151399829,-10.3605721614742,-13.9548537150782,-33.5151394787246,-95.8511033581123,0.01739501953125
13,-14.5396857042909,-84.0547075924704,-10.3605721614742,-13.9548537150782,-33.6341209249807,-96.7112077384611,0.0270769596099854
14,-14.5396857042909,-83.8010541929119,-10.3605721614742,-13.9548537150782,-33.5993149570512,-96.0128841272241,0.0353319644927979
15,-14.5396857042909,-83.6797067317647,-10.3605721614742,-13.9548537150782,-33.6974427238225,-95.9313782161802,0.0221478939056396
16,-14.5396857042909,-83.3711707876307,-10.3605721614742,-13.9548537150782,-33.5884697701723,-95.2480463425065,0.0279450416564941
17,-14.5396857042909,-83.4835385871878,-10.3605721614742,-13.9548537150782,-33.6395585586626,-95.3608546091721,0.0236380100250244
18,-14.5396857042909,-83.4811431930009,-10.3605721614742,-13.9548537150782,-33.7528570571706,-95.0905861630442,0.185920000076294
19,-14.5396857042909,-83.5547524185973,-10.3605721614742,-13.9548537150782,-33.8164102855197,-95.4160923784889,0.047760009765625
20,-14.5396857042909,-83.5136927368794,-10.3605721614742,-13.9548537150782,-33.9336343297497,-94.9759529557999,0.0443120002746582
21,-14.5396857042909,-83.547489449607,-10.3605721614742,-13.9548537150782,-34.0557081978992,-94.9584907253502,0.0466628074645996
22,-14.5396857042909,-83.0524257949726,-10.3605721614742,-13.9548537150782,-34.0507739622829,-94.3132681817494,0.0575571060180664
23,-14.5396857042909,-83.2588454481763,-10.3605721614742,-13.9548537150782,-34.147491249224,-94.645956895503,0.056602954864502
24,-14.5396857042909,-82.9347513050204,-10.3605721614742,-13.9548537150782,-34.1362985569528,-94.2995854246102,0.0515971183776855
25,-14.5396857042909,-83.1699715346957,-10.3605721614742,-13.9548537150782,-34.2938337888546,-95.0489036441432,0.0626640319824219
26,-14.5396857042909,-83.0539375415985,-10.3605721614742,-13.9548537150782,-34.1814374131274,-95.1323543245674,0.0568220615386963
27,-14.5396857042909,-82.9913319944583,-10.3605721614742,-13.9548537150782,-34.1664631296833,-95.0226986406507,0.116269111633301
28,-14.5396857042909,-83.1693150236637,-10.3605721614742,-13.9548537150782,-34.2404767381198,-95.4824395232501,0.04715895652771
29,-14.5396857042909,-83.1667470636104,-10.3605721614742,-13.9548537150782,-34.2041665327292,-95.4576565599661,0.0474269390106201
30,-14.5396857042909,-83.4371516722756,-10.3605721614742,-13.9548537150782,-34.2034960764777,-95.781128306053,0.0659909248352051
31,-14.5396857042909,-83.1135654069442,-10.3605721614742,-13.9548537150782,-34.0805297176593,-95.2453286182939,0.0749731063842773
32,-14.5396857042909,-83.2241724944243,-10.3605721614742,-13.9548537150782,-34.0546417024546,-95.1470298231069,0.0743229389190674
33,-14.5396857042909,-83.1165133674084,-10.3605721614742,-13.9548537150782,-33.9825388879845,-94.6957888053302,0.0657670497894287
34,-14.5396857042909,-83.3838956445729,-10.3605721614742,-13.9548537150782,-33.9755171453421,-95.1750613691951,0.0703799724578857
35,-14.5396857042909,-83.3608444274116,-10.3605721614742,-13.9548537150782,-33.9526370550732,-95.2130265014456,0.0509459972381592
36,-14.5396857042909,-83.3670151661361,-10.3605721614742,-13.9548537150782,-33.9518188142208,-95.3144645129923,0.0693271160125732
37,-14.5396857042909,-83.4156414604104,-10.3605721614742,-13.9548537150782,-33.8997810493928,-95.4527420920683,0.0675060749053955
38,-14.5396857042909,-83.4925541637222,-10.3605721614742,-13.9548537150782,-33.8796313010874,-95.7720858143542,0.0698590278625488
39,-14.5396857042909,-83.6638479006383,-10.3605721614742,-13.9548537150782,-33.9997046383516,-96.1097158340703,0.195874929428101
40,-14.5396857042909,-83.8363816329038,-10.3605721614742,-13.9548537150782,-33.987690075336,-96.2681420895347,0.112884044647217
41,-14.5396857042909,-84.1263221887159,-10.3605721614742,-13.9548537150782,-34.0796385788348,-96.8059314688184,0.219377994537354
42,-14.5396857042909,-84.0297790484559,-10.3605721614742,-13.9548537150782,-34.011195145705,-96.7926419344292,0.0772790908813477
43,-14.5396857042909,-83.9293147841559,-10.3605721614742,-13.9548537150782,-34.0890540850028,-96.6456668563279,0.070537805557251
44,-14.5396857042909,-83.8834125073083,-10.3605721614742,-13.9548537150782,-34.0992570652524,-96.5595369877095,0.257856130599976
45,-14.5396857042909,-83.99001080666,-10.3605721614742,-13.9548537150782,-34.1219430028405,-96.7037230051541,0.086082935333252
46,-14.5396857042909,-83.7713454925279,-10.3605721614742,-13.9548537150782,-34.1055495776731,-96.3719570043574,0.0974068641662598
47,-14.5396857042909,-83.7239272106927,-10.3605721614742,-13.9548537150782,-34.1837869336769,-96.334876840565,0.0820538997650146
48,-14.5396857042909,-83.7139532557861,-10.3605721614742,-13.9548537150782,-34.1495613812596,-96.3466254237867,0.0841710567474365
49,-14.5396857042909,-83.7842544777184,-10.3605721614742,-13.9548537150782,-34.1146815768682,-96.4636074344446,0.0761499404907227
50,-14.5396857042909,-83.6449383620277,-10.3605721614742,-13.9548537150782,-34.0462322840357,-96.3756456679396,0.0918869972229004
51,-14.5396857042909,-83.6894887312675,-10.3605721614742,-13.9548537150782,-34.0803701509352,-96.4735570420286,0.0802550315856934
52,-14.5396857042909,-83.613575828519,-10.3605721614742,-13.9548537150782,-34.0083219970817,-96.2846829301536,0.0855991840362549
53,-14.5396857042909,-83.6498828726788,-10.3605721614742,-13.9548537150782,-34.0499280800236,-96.3795639085912,0.0886881351470947
54,-14.5396857042909,-83.7074316900816,-10.3605721614742,-13.9548537150782,-34.0369858140157,-96.5065096719617,0.107135057449341
55,-14.5396857042909,-83.8339769489489,-10.3605721614742,-13.9548537150782,-34.0460678990511,-96.5482336587393,0.0776028633117676
