"B","psi1","psi2","psi3","psi4","Time"
1,-14.5249292539254,-0.515117226008312,-15.1593688419434,-4.2669086174075,0.00790596008300781
3,-14.4384049131591,-1.78126540830752,-14.871217319387,-4.25358816227789,0.010828971862793
5,-15.7882728300216,-6.15748645324578,-16.425670845987,-3.22521031027156,0.0174150466918945
7,-16.374660548265,-7.49288961679289,-16.9845311877309,-2.98093953691666,0.023514986038208
9,-15.1496600306581,-4.85785974386663,-15.7429409971247,-3.17749578554168,0.0281081199645996
11,-15.1803202744236,-5.27830432257792,-15.779483345609,-3.5140227026649,0.041780948638916
13,-14.8770759452612,-4.8660798564618,-15.5035053331924,-3.56646779911637,0.0475409030914307
15,-14.6948266772225,-4.4258003745769,-15.308995290134,-3.5771310095001,0.0331439971923828
17,-14.6483409983148,-4.37203094720611,-15.2539580256779,-3.36883635270938,0.0806319713592529
19,-15.0365364690617,-5.3316937923955,-15.6641883007147,-3.35853920569442,0.0606968402862549
21,-14.7178944154567,-4.65938374258363,-15.3245222692428,-3.27269892744086,0.0641088485717773
23,-14.6506330822314,-4.69723999233022,-15.2574091413761,-3.22597272355449,0.0573320388793945
25,-14.8401945872418,-5.03045655685764,-15.4506624142078,-3.07049351712644,0.0743470191955566
27,-14.8164862002291,-5.09798247990545,-15.446741900025,-3.08848952087195,0.0797889232635498
29,-14.5590417143796,-4.75074256198302,-15.1863411587612,-3.13220920368727,0.0915160179138184
31,-14.5436907342843,-4.9188290631193,-15.1872098184565,-3.19646579040945,0.0727798938751221
33,-14.6639526874297,-5.12748007313937,-15.3076527958443,-3.13419040783444,0.148257970809937
35,-14.9300893225874,-5.37294526292759,-15.5547668312354,-3.13769488260899,0.138905048370361
37,-14.8443222475743,-5.30504373968236,-15.4902902633081,-3.12984297013224,0.111303091049194
39,-14.8657614308815,-5.28296493817324,-15.5341996049622,-3.16276031770048,0.0980579853057861
41,-14.8077047689851,-5.38193058512637,-15.4911855813796,-3.1512790634471,0.112710952758789
43,-14.4974945713088,-4.78249671899054,-15.1726016084437,-3.1786818367337,0.138759851455688
45,-14.7242537420468,-5.10206627553947,-15.3970458015687,-3.18798133035436,0.140725135803223
47,-14.8691544844356,-5.41981747488249,-15.5405450897046,-3.24812260205448,0.135381937026978
49,-14.9577407785389,-5.45874887286323,-15.6282928425648,-3.25497426535053,0.212626218795776
51,-14.9406127560511,-5.43416973988891,-15.6160528034213,-3.19121917877816,0.150495052337646
53,-14.9462391870369,-5.53822769051435,-15.6353517639179,-3.22995354851828,0.161484003067017
55,-14.9848491807233,-5.63801843638662,-15.6692168403733,-3.20574231721363,0.153192043304443
57,-15.0345528839672,-5.73990311776985,-15.72567894911,-3.1988354184831,0.15769100189209
59,-15.1246256148469,-5.89730778733826,-15.8166943297103,-3.18183373186045,0.153953075408936
61,-15.1154465297423,-5.87608695533655,-15.7941556470541,-3.18113907596559,0.16075611114502
63,-15.1966416547305,-5.99429775342957,-15.8849370985019,-3.12682263780304,0.179881811141968
65,-15.0196281235191,-5.78701229165307,-15.7049004807326,-3.14324696218387,0.173348903656006
67,-14.9845216933534,-5.78881518463296,-15.6711044685967,-3.06330511792029,0.197148084640503
69,-14.9407079620337,-5.74930319020621,-15.6365590119044,-3.04383735040713,0.18839693069458
71,-14.8717047062494,-5.65840068784774,-15.5778157535761,-3.058453745122,0.182853937149048
73,-14.924858946083,-5.81684539086513,-15.6366611297675,-3.0011954140225,0.458055019378662
75,-14.8366796255498,-5.70884579725496,-15.5544074464515,-3.00100328836854,0.187832832336426
77,-14.8485944949412,-5.70416280317772,-15.5601461857869,-2.98833444648316,0.20679783821106
79,-14.8859759132181,-5.82870905088796,-15.6078295303693,-2.94205242677906,0.195497035980225
81,-14.9112467499893,-5.85161295003457,-15.6274269699768,-2.91013525147566,0.230394124984741
83,-14.8463530825738,-5.74508110409992,-15.5699788308863,-2.89107358571384,0.231210947036743
85,-14.9755117812051,-5.91093458875229,-15.7021825657369,-2.90746270425699,0.241562843322754
87,-14.9215440580591,-5.92609859673739,-15.6478811907907,-2.91932229163723,0.233999013900757
89,-14.8649689821399,-5.75539930085042,-15.5932086306294,-2.97061161253436,0.246870994567871
91,-14.8228389404719,-5.62372361583919,-15.547653437758,-2.96769378825962,0.223427057266235
93,-14.7082795920425,-5.46394265428141,-15.4401825379454,-2.95409597547296,0.268525838851929
95,-14.6180559468401,-5.28674200322977,-15.3486210303402,-2.96966555904105,0.245257139205933
97,-14.7401411761062,-5.51227320496696,-15.4807530873038,-2.93849969313551,0.247992038726807
99,-14.6356867444909,-5.33474578383215,-15.3760049831904,-2.95333816239221,0.248592138290405
101,-14.6823487568774,-5.37196352026512,-15.4165131924039,-2.93812088786852,0.274765014648438
103,-14.7076144587448,-5.46074531968025,-15.435975520896,-2.89540150843671,0.29577112197876
105,-14.6235584058182,-5.30376479054813,-15.3555217266833,-2.84807686545702,0.26990818977356
107,-14.6820560700018,-5.41802996761627,-15.4141864109839,-2.81637574347234,0.27676796913147
109,-14.7318423719833,-5.57830294434342,-15.4622529293541,-2.80134502186551,0.330102920532227
111,-14.7151525322322,-5.57282298743235,-15.439257089982,-2.77321222882314,0.288316965103149
113,-14.7714783952786,-5.66343338748902,-15.49572326217,-2.74377545000808,0.278820991516113
115,-14.8151456194829,-5.68772692001258,-15.5372170347339,-2.74401329847194,0.29138708114624
117,-14.8186089717121,-5.72774852495518,-15.5415274516954,-2.7544398918449,0.303951978683472
119,-14.7732464148683,-5.65204699090831,-15.501558784417,-2.73423477710997,0.300590991973877
