"B","psi1","psi2","psi3","psi4","psi5","psi6","Time"
1,-0.410955124390244,0.535769624081347,-1.57934743129171,-0.253897729714626,-4.06818306797055,0.0312391534426208,0.00335288047790527
2,-0.496253975703046,0.320403850541206,-1.5750084292012,-0.259557041511858,-3.99129813010046,-0.0868578897193022,0.00510096549987793
3,-0.511314585133609,0.372977068511188,-1.57306453812959,-0.247031288944436,-3.9688687319571,-0.039595328850654,0.00724697113037109
4,-0.492683904506894,0.428876195699469,-1.5734483113727,-0.232516406090482,-3.96288825304231,0.0293424419782695,0.0100500583648682
5,-0.48743496291293,0.402227653577201,-1.57085564504853,-0.236822504880106,-3.93630238271047,-0.0116112328310482,0.0153129100799561
6,-0.495932411824002,0.475719249748509,-1.57174029179579,-0.241450877000524,-3.94502395297365,-0.0340648948333883,0.0127499103546143
7,-0.483673145819737,0.499773314967274,-1.5718220709243,-0.24265605317598,-3.95178871374196,-0.0300704422049079,0.0243229866027832
8,-0.469612298393942,0.555656889319248,-1.5699126744965,-0.244137000589698,-3.93829817575468,-0.0442931975380353,0.0416738986968994
9,-0.459968221472427,0.589407383183324,-1.57207120374424,-0.245926578177431,-3.94855738337216,-0.0405534687845459,0.021172046661377
10,-0.455610082623628,0.605721543391373,-1.57076723752029,-0.243058028036666,-3.9413103835931,-0.0216170254470471,0.0203170776367188
11,-0.453199648141807,0.677208093041339,-1.57112161106451,-0.237884558829076,-3.94913796808069,0.0123943108339703,0.0213208198547363
12,-0.442396015596247,0.659262508394995,-1.56994922842037,-0.238488490002859,-3.94420870795872,0.00495068842724697,0.0253970623016357
13,-0.441319776204044,0.632077296658661,-1.57036707013499,-0.236062357263655,-3.94738615668146,0.00591723680146821,0.0442712306976318
14,-0.441401135684893,0.658495265891507,-1.57045844322448,-0.235122794057316,-3.94948539793942,0.0192946103956554,0.0315101146697998
15,-0.428765847552673,0.668012446477471,-1.56987931497668,-0.234351857910869,-3.94455479527833,0.0179505727813013,0.033297061920166
16,-0.434700819617606,0.695298677049153,-1.5695991303119,-0.236056258642781,-3.94108685023208,0.0144073698302432,0.0345141887664795
17,-0.435576575748832,0.67602347814888,-1.56993730335601,-0.235709928000717,-3.94535187957483,0.0146626862639623,0.0410330295562744
18,-0.436319656065543,0.683866759144089,-1.56925237642349,-0.236259849788351,-3.93910752520894,0.0136588354409722,0.0364739894866943
19,-0.440396184360283,0.663371097062655,-1.56927509358228,-0.238464424698594,-3.93939493879328,0.00677932183877211,0.0545740127563477
20,-0.438455569133971,0.661646424495897,-1.56972007749201,-0.238480607039,-3.94210888228866,0.000258915935662067,0.0492691993713379
21,-0.436445616614625,0.678162690306952,-1.57044587895656,-0.236844238188746,-3.94797319211529,0.00159828173185313,0.0452170372009277
22,-0.43711974221894,0.692130316407066,-1.56998213754482,-0.237252635742281,-3.94323087430132,0.00788087030733059,0.0480000972747803
23,-0.436000976877989,0.691690029317412,-1.57064550343765,-0.235196577984713,-3.94698009837571,0.01175307727322,0.064647912979126
24,-0.427729635431262,0.728627463536551,-1.57049811108877,-0.235090725199951,-3.94753257589651,0.0160863011191552,0.104369878768921
25,-0.433009082154605,0.696948900729293,-1.57063363907804,-0.233509085107975,-3.94681883778574,0.0203345665785799,0.0542991161346436
26,-0.436715080397932,0.682686599255871,-1.57024616597072,-0.234516237946428,-3.94676354717904,0.0160160616367114,0.0708730220794678
27,-0.436140656988068,0.680309622770653,-1.5707198089842,-0.233882589462902,-3.95031461469794,0.0159009507927788,0.0561349391937256
28,-0.442433723468282,0.644259827780645,-1.570911793684,-0.231884841906634,-3.95268371124876,0.0142579505681411,0.061068058013916
29,-0.441801061222047,0.641168620953718,-1.57087751552743,-0.232289997714671,-3.95513358085885,0.0111658602611443,0.0575649738311768
30,-0.446141587849275,0.63892929244127,-1.57143808025191,-0.233316605092746,-3.95851395480245,0.00796666378599476,0.076530933380127
31,-0.441466058603804,0.660606972986052,-1.57076336184984,-0.232810075655674,-3.95224911205498,0.0103169129689751,0.0661230087280273
32,-0.440900029693529,0.672606902203999,-1.57086450462304,-0.232420164117671,-3.95124174833929,0.0136713437686012,0.0963108539581299
33,-0.441304216734986,0.659741723639803,-1.5713057709876,-0.232994666831853,-3.95564497781863,0.0138301040586866,0.0741701126098633
34,-0.438505328028301,0.660381357645711,-1.57138648893866,-0.232874451850987,-3.95486392730385,0.015559485173763,0.0679459571838379
35,-0.437443659023744,0.660119914418416,-1.57107498943202,-0.232903760844685,-3.95150372154214,0.0122312460396792,0.0819211006164551
36,-0.435702714268866,0.66733923825141,-1.57109462627647,-0.232438297674475,-3.9516613649261,0.0134105916597732,0.0751550197601318
37,-0.434474504341873,0.674169775131136,-1.57112236074072,-0.231673872170272,-3.95190937552684,0.0161350459594665,0.0775158405303955
38,-0.433484347102005,0.660402219914611,-1.57116178865632,-0.231076522743609,-3.95213374039065,0.0193561385522849,0.0844559669494629
39,-0.437386332469383,0.638108998001727,-1.57138167521995,-0.231540474588504,-3.95246830196228,0.0185138343925864,0.070688009262085
40,-0.439592064085114,0.625111788787599,-1.57125154272961,-0.230844281687714,-3.95212106769772,0.0200431214135006,0.0822620391845703
41,-0.440817504911048,0.618565632534875,-1.57144862095023,-0.230831659693293,-3.9524456312916,0.0162075817644168,0.0745849609375
42,-0.439643961387894,0.632837535316018,-1.57132162928287,-0.230576486310447,-3.95059893031149,0.0155959692460004,0.0848331451416016
43,-0.44124647792875,0.620758588429548,-1.57116111224444,-0.231198063935261,-3.94959519878431,0.00971224135065809,0.0789480209350586
44,-0.43953604210246,0.632925923789248,-1.57121141082456,-0.231189526648938,-3.94907242958667,0.018142298392454,0.0943078994750977
45,-0.442976081156043,0.612669309990391,-1.57128102720801,-0.230093620461825,-3.94968333217457,0.0193216837545601,0.0923850536346436
46,-0.444716556752209,0.616671432105811,-1.57112492394709,-0.230534482344813,-3.94929160725417,0.0209175684685978,0.128607034683228
47,-0.450377931660647,0.590588796846943,-1.57099687363987,-0.231140662289921,-3.94893787893635,0.0204838191187091,0.0987389087677002
48,-0.449633056886129,0.599025624655445,-1.57101451981184,-0.230103094910624,-3.94918950234181,0.0253405535271966,0.111739873886108
49,-0.450811035500001,0.5922058380083,-1.57106719314571,-0.229136412972822,-3.94995339215702,0.024998396091784,0.101714134216309
50,-0.451432184678014,0.594074070063659,-1.5707581892509,-0.228145068692111,-3.94687576079337,0.0282938616911535,0.116361141204834
51,-0.451915310851334,0.590294486706083,-1.57087280488424,-0.227642156433622,-3.94652164615338,0.0280659635119971,0.108703851699829
52,-0.452756421515639,0.590231215374875,-1.57078075744702,-0.228048453749403,-3.94682056305616,0.0310869311048923,0.10107684135437
53,-0.452708233819546,0.590896899628104,-1.57086652258341,-0.228895092614652,-3.94713910828056,0.0251798740614747,0.118815898895264
54,-0.453474545997051,0.58322285276606,-1.57072409487042,-0.228941312964579,-3.94596524421355,0.0240673052115822,0.112442970275879
55,-0.455807587227409,0.573364473873854,-1.5706525925307,-0.228826257550666,-3.94486306994847,0.0242901159438349,0.311491966247559
56,-0.453084020250173,0.579156432957807,-1.57085250027699,-0.228947736894803,-3.94617376712015,0.0231063608182599,0.107795000076294
57,-0.450195345339279,0.594139545244284,-1.57068230990991,-0.228614752141546,-3.94481326044758,0.0256526802943329,0.107722043991089
58,-0.448379111172811,0.606014603120721,-1.57072884266565,-0.227713359151126,-3.94335393437903,0.029000980482728,0.106611967086792
59,-0.450748817885707,0.606911170461224,-1.57086426322626,-0.22776294270037,-3.94441576182412,0.0288195912967034,0.100917100906372
60,-0.451247916938177,0.599294209616764,-1.5707460708927,-0.228488768245775,-3.94330168230514,0.0269648205751269,0.115231037139893
61,-0.453702152647971,0.586762859171866,-1.57082075571708,-0.229309733454911,-3.9431064462427,0.0238555310258367,0.114928960800171
62,-0.453740278122713,0.58493534717395,-1.57071763845759,-0.22936082713518,-3.94278829844186,0.0223693106102806,0.140177011489868
63,-0.451574181600532,0.593846465537304,-1.57031432167833,-0.228795548830939,-3.9402346800065,0.0246710921482163,0.130268812179565
64,-0.450196815564427,0.592287749505618,-1.5701578119448,-0.228928498010717,-3.94016717355525,0.0234949885655268,0.125119924545288
65,-0.447082443449213,0.600526005414327,-1.57024851175689,-0.229064390057808,-3.94110417282243,0.0244567522421924,0.129626035690308
66,-0.447013348742495,0.60581317534573,-1.5704097378736,-0.228756642111799,-3.94184383230895,0.0242756171348311,0.138599872589111
67,-0.446838222882885,0.600454699107817,-1.57029282340057,-0.228859312237759,-3.94090180235562,0.0253864508415484,0.123641967773438
68,-0.447122075663422,0.606513337771712,-1.57039032586621,-0.229641106816868,-3.94169024916746,0.0230306808760638,0.131125926971436
69,-0.444973264008635,0.616176360554561,-1.5703616888826,-0.229846358294343,-3.94180256808363,0.0241655720959232,0.308964014053345
70,-0.440423209204179,0.632394860495103,-1.57045784994069,-0.229661098094998,-3.94234533825706,0.0263565147130072,0.134774923324585
71,-0.44035700734961,0.636639859863258,-1.57039164904146,-0.229749318727033,-3.94151963517388,0.0257220764454767,0.1369309425354
72,-0.441956247201887,0.632424061292909,-1.57035219132958,-0.230144761749305,-3.94177805199399,0.0227247953396058,0.12912392616272
73,-0.444225757722766,0.630099852220662,-1.57028037522115,-0.230181782633452,-3.94137119393479,0.022068692187352,0.133692979812622
74,-0.443125685455881,0.629253854721628,-1.5700976606627,-0.230390361091198,-3.94102629632619,0.0185864928555876,0.134866952896118
75,-0.44545278151379,0.620350552320096,-1.56979922029616,-0.230646467092695,-3.93891983130044,0.0200824788697808,0.150485992431641
