"n","vare","B","seed","a1","a2","a3","a4","est.OG.1","est.OG.2","est.OG.3","est.OG.4","est.NG.1","est.NG.2","est.NG.3","est.NG.4","est.RG.1","est.RG.2","est.RG.3","est.RG.4","est.SG.1","est.SG.2","est.SG.3","est.SG.4","est.CG.1","est.CG.2","est.CG.3","est.CG.4","ste.OG.1","ste.OG.2","ste.OG.3","ste.OG.4","ste.NG.1","ste.NG.2","ste.NG.3","ste.NG.4","ste.RG.1","ste.RG.2","ste.RG.3","ste.RG.4","ste.SG.1","ste.SG.2","ste.SG.3","ste.SG.4","ste.CG.1","ste.CG.2","ste.CG.3","ste.CG.4","bcs.OG.1","bcs.OG.2","bcs.OG.3","bcs.OG.4","bcs.NG.1","bcs.NG.2","bcs.NG.3","bcs.NG.4","bcs.RG.1","bcs.RG.2","bcs.RG.3","bcs.RG.4","bcs.SG.1","bcs.SG.2","bcs.SG.3","bcs.SG.4","bcs.CG.1","bcs.CG.2","bcs.CG.3","bcs.CG.4"
400,0.05,80,4000001,-1,0,1,2,1.22085887785916,0.477493737869927,0.744418853233842,-1.12836317028897,0.907547649168102,0.534490717493361,0.689743761178467,-0.43380119307524,1.28041278344889,0.517655458449415,0.677010334122928,-1.08856229833724,1.11410561665162,0.519108606750408,0.692643003953836,-0.831457903992097,1.24707233348554,0.501640540508094,0.710474266553557,-1.08278765767897,0.0450875474884636,0.0210183372911276,0.0191699739330651,0.0801559607582162,0.108875764412809,0.0236221694862579,0.0226778920993251,0.172973199147826,0.174638641752248,0.0242653914926044,0.0234331242773867,0.26009447136799,NA,NA,NA,NA,0.224699756824629,0.0306120509645238,0.0305701133619464,0.436937624233694,0.0651526184236256,0.0236568814513276,0.0211982468348693,0.115847495903555,0.151290103436695,0.0347184628132812,0.0334753113648162,0.247456744837923,0.29374701482412,0.0397015167925359,0.0356240951396551,0.422863844464152,NA,NA,NA,NA,0.671089021579425,0.109950225663016,0.105346767104358,0.997005215651882
800,0.05,80,4000001,-1,0,1,2,1.28804442160234,0.499509969913683,0.726046671051865,-1.04832175850838,0.846096004605198,0.54448070377255,0.697765262885628,-0.39011066033348,1.23729958351067,0.528232682221665,0.681924374060085,-1.0788102906386,1.03723724614206,0.513158147047253,0.721066067311657,-0.847120428873744,1.13999512115024,0.50352608568757,0.727215202414672,-1.03955300906151,0.0396130625909044,0.0145259236682067,0.0144924306295136,0.0433854303150676,0.0801260170477596,0.0160023574717133,0.0165567080703161,0.0941875600061509,0.143154328209383,0.0162665140947911,0.0184216157485084,0.144589245808626,NA,NA,NA,NA,0.191643711746592,0.0215892425798682,0.0233670367329609,0.193411580252803,0.0416427697640998,0.0146536078560352,0.0146184854247312,0.0472403580415378,0.085466839504429,0.0170911390572729,0.0175836782277376,0.104197000984038,0.155770023643039,0.0174557840652745,0.0191129409364996,0.164861719066016,NA,NA,NA,NA,0.217599731799717,0.0268443119013963,0.0272284999164601,0.241097932298551
8000,0.05,80,4000001,-1,0,1,2,1.25461081047088,0.493822779026108,0.747323013217904,-0.997178427532397,0.994034159627672,0.527845852378615,0.718267059354041,-0.377039303300023,1.40821959594278,0.513533334311858,0.708908244383983,-1.03246745811526,1.21598688479781,0.503155449132013,0.737655937017821,-0.738119493512272,1.28995230235196,0.499186519224524,0.741170898582613,-0.819149910505734,0.012597759988264,0.00436563043472629,0.00430830040787545,0.0112522808503912,0.0307362079487463,0.00651681330166429,0.00714387676957857,0.0448185080007845,0.0530570861690648,0.0071397364468849,0.00743103177391719,0.0750802819549715,NA,NA,NA,NA,0.0458746260283459,0.00929661254207238,0.010397872412241,0.0875296926713661,0.0126401029273644,0.00436966907028953,0.00431271098743226,0.0113375866626156,0.0323425905802097,0.00707650532842624,0.00771073506127873,0.0463575161253487,0.058106379858601,0.00796454555028683,0.00822652215141677,0.0796909423569443,NA,NA,NA,NA,0.0551174124851741,0.0111304050026733,0.012164631478712,0.0938214113080328
400,0.05,80,4000002,-1,0,1,2,1.22856933339419,0.525578137608192,0.731387263758566,-0.959565404039039,0.985145060015568,0.556194373238812,0.705263909004422,-0.637128587533848,1.43023154217252,0.540065833183686,0.691284222206785,-1.34121806425303,1.09191923459029,0.540326878046239,0.731842711855708,-1.16511075075929,1.14870428907093,0.527954449104985,0.741429298355885,-1.42081190051289,0.0327149781923476,0.0203185132065572,0.0195987999293257,0.0379202169476178,0.0711577996729655,0.0217980002333104,0.0228933967469309,0.151314799808736,0.152312885818497,0.023533581622888,0.0250570136088565,0.222234067172752,NA,NA,NA,NA,0.116240040711838,0.0234658512620365,0.0299865772079584,0.243442921115218,0.0333732553673166,0.0204478085696055,0.0196590492851044,0.0391165670942581,0.0738918238219742,0.0225649132077358,0.0239494394417385,0.162873972656374,0.165157826516483,0.0255693281978819,0.0264233494596881,0.251598647949528,NA,NA,NA,NA,0.123299588433814,0.025193137494779,0.0309908345754634,0.273722578081321
800,0.05,80,4000002,-1,0,1,2,1.25701358628505,0.5054643694933,0.747453478137508,-1.0142130230235,0.954554689606328,0.530463456767981,0.732021627753528,-0.425993168271128,1.34509592291271,0.513554743951649,0.720490617495031,-1.06396306746252,1.17965084218789,0.492296886267653,0.762682890373201,-0.957783281828755,1.31054881424246,0.477228057044245,0.7705890974206,-1.24183772768341,0.0354372772290558,0.0139206827499056,0.0142500024866072,0.044721485581395,0.0543664401773878,0.0149206341940113,0.0153560826710021,0.0916876654181196,0.0849351964756005,0.0156096514121327,0.0162360496108847,0.141123695276953,NA,NA,NA,NA,0.153748504390788,0.021015449590102,0.0218707254150429,0.193003394963883,0.0369760822271304,0.0140695645512075,0.0143723860621544,0.0488394303894804,0.0562286147466133,0.0154548547057512,0.0158859479214804,0.0978917431683431,0.0920121518293015,0.0166744045382666,0.016765574035649,0.157003199086488,NA,NA,NA,NA,0.16702865355636,0.0250211331074403,0.0239341622393645,0.229503358305996
8000,0.05,80,4000002,-1,0,1,2,1.2751270062037,0.519071761105311,0.759533574639327,-0.978426103222096,0.992285573468542,0.562583355312972,0.721799185937798,-0.285871664401672,1.36660858824874,0.551000810274686,0.711026139798205,-0.875609838454923,1.19929382509292,0.539897822481611,0.738533935381245,-0.612880852747818,1.26887634995619,0.535900595130833,0.74150921239279,-0.690322816731884,0.0115308769242227,0.00434496824774779,0.00434274873012592,0.0114897853797561,0.0328787125243477,0.00611943213580442,0.00610716785189415,0.0361329339313594,0.0519420926381818,0.00624733009649669,0.00640667919468694,0.0560937199926358,NA,NA,NA,NA,0.0491569596025166,0.00903716512300421,0.00960107991613677,0.0803944288685514,0.0115700695276386,0.00434950197840357,0.00434737632183084,0.011588836361882,0.0335371850267594,0.0063741713280859,0.00636564701058292,0.0369187156951112,0.0535383732156014,0.00654430674991779,0.00666543567407321,0.058005911519307,NA,NA,NA,NA,0.0579048896057194,0.0109939327701752,0.0114664989332012,0.0869237309220482
400,0.05,80,4000003,-1,0,1,2,1.31711875684532,0.524243325827705,0.737533820729206,-1.04470019675007,1.09985188587825,0.543896499802394,0.725078055680932,-0.672348284123547,1.58482804331523,0.533247560177989,0.705732975145038,-1.42330422044418,1.43370625558398,0.495053186815011,0.758245699709588,-1.36740166375768,1.8679967056691,0.447328347665916,0.790534782642671,-2.01270577364092,0.0404379783188729,0.0192576608722464,0.0189290265021239,0.0466721688912893,0.132947819117507,0.02445594952241,0.0221812684810715,0.215525354294873,0.229736896575506,0.0246609276604926,0.0242722694219155,0.338182203487211,NA,NA,NA,NA,0.211737519587732,0.0367059752660195,0.0341535643982365,0.477580993882503,0.0434604599497141,0.0194331095877171,0.019281325765452,0.0528750546948694,0.145236222484707,0.0277922296415457,0.0243025297999747,0.2455777385366,0.266415042637003,0.0302309674259393,0.0257828070348695,0.411872081797507,NA,NA,NA,NA,0.338801343677498,0.0591008696911171,0.0455025813127652,0.688823009785476
800,0.05,80,4000003,-1,0,1,2,1.2932264897682,0.503133554437629,0.750739063392842,-1.06525519629059,0.910611840429172,0.542824848013313,0.713924623853521,-0.395688005911128,1.28652075821589,0.527028983153987,0.69884708107158,-1.0660469392697,1.16238968448138,0.50459527381875,0.749387887696943,-0.879767475036136,1.34872690155694,0.482007259283618,0.768694783011863,-1.18792651599406,0.0329269466534575,0.0143013048172617,0.0140463969178741,0.0449373323136109,0.0984179143176055,0.0176541035744631,0.0173991933921278,0.121203925061487,0.16401604754601,0.0182840105245492,0.0187778637889939,0.195549126560298,NA,NA,NA,NA,0.133005525746336,0.0225372475732785,0.0240802850617576,0.238882965319221,0.0354009524430227,0.0144787003619144,0.0141863702127934,0.0490898217041888,0.104475919397377,0.0191250366229414,0.0186563920244062,0.131685564266479,0.183150391558813,0.0209957605889942,0.0204267427086003,0.226605664128858,NA,NA,NA,NA,0.169524406698722,0.0295531482204654,0.0294054746829772,0.293912186639617
8000,0.05,80,4000003,-1,0,1,2,1.22802798986359,0.505936912286884,0.756885472002201,-0.982609161941659,0.923035399157899,0.544773912304157,0.725602626545765,-0.361620986438521,1.29045630889015,0.529404510954302,0.714042923077578,-0.985047958710165,1.14837394836583,0.512872374023958,0.751769490789542,-0.779918512640658,1.24407997763473,0.507132049990606,0.755629929144658,-0.892944192406699,0.0119366469086099,0.00436097664352275,0.00429750151250668,0.0112403477584378,0.0254893968162774,0.00569309413027777,0.00601713905476554,0.0401545663834063,0.0421168210827614,0.00593248360351229,0.00609819525326803,0.0619286018775165,NA,NA,NA,NA,0.0485305605591537,0.00804497742855298,0.00879587808074223,0.081559008505371,0.0119737889116194,0.0043641208657909,0.00430059831787149,0.0113141115758202,0.0260949491618866,0.00588002143947878,0.00621144684832012,0.0409599539264143,0.0437140290659012,0.00616841343203056,0.00629850617558347,0.0638191825912751,NA,NA,NA,NA,0.0527961728490442,0.00894951333805344,0.0096323738797303,0.0858454660924548
400,0.05,80,4000004,-1,0,1,2,1.32176138693934,0.490788439261163,0.761599124922895,-0.971732465519728,1.00883827461905,0.526469356170536,0.73453736975011,-0.301642088101897,1.40667176600813,0.515975934036179,0.723694147364748,-0.941463183958318,1.29610880658585,0.488917898875977,0.777458717689667,-0.768701747294917,1.57490168056307,0.460873721113918,0.810660619397654,-1.11520172958601,0.051841119032769,0.0184998243601261,0.0205885709432934,0.0804760214905089,0.102190076230579,0.0213622444690168,0.0242928711687045,0.177065361133394,0.165468458553263,0.0215100576313413,0.0261532976982206,0.259366903024727,NA,NA,NA,NA,0.175838965711613,0.0299578626280237,0.0366737723487741,0.362364217709943,0.0608008941599709,0.0191369828859709,0.0214672130544564,0.0981491357763366,0.140013100155933,0.0300298734775777,0.0344388607796272,0.232498003297754,0.247344007890856,0.03107094960262,0.0346308267411919,0.370910641915972,NA,NA,NA,NA,0.505179752885432,0.0800848002049147,0.0918069544078016,0.724132151252023
