"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,80,0.02,1,0,0,"gfmla","naive",0.0815041995425442,0.0879152593565017,0.0882271765489259
400,80,0.02,1,0,0,"gfmla","oracle",0.226570269914409,0.102150211296959,0.102578115210536
400,80,0.02,1,0,0,"gfmla","rc",0.118715003962388,0.126620426117454,0.127153167832867
400,80,0.02,1,0,0,"gfmla","mccs",0.113104566727047,0.127467481653341,0.128023159772217
400,80,0.02,1,0,0,"ipw","naive",0.150598210237468,0.0924712791294758,0.0929781952039303
400,80,0.02,1,0,0,"ipw","oracle",0.300211603651607,0.121109426270719,0.122732713146866
400,80,0.02,1,0,0,"ipw","rc",0.248681027372188,0.138040065145531,0.139091005589061
400,80,0.02,1,0,0,"ipw","mccs",0.259785984800291,0.141305674899433,0.142418340882016
400,80,0.02,1,0,0,"dr","naive",0.153220445092343,0.0894102425109549,0.0900154753709183
400,80,0.02,1,0,0,"dr","oracle",0.294646303368162,0.105661325004787,0.107512302255946
400,80,0.02,1,0,0,"dr","rc",0.26541158736705,0.131847084452112,0.133185406746216
400,80,0.02,1,0,0,"dr","mccs",0.274350901681557,0.137024861432902,0.138515644906195
400,80,0.02,1,1,0,"gfmla","naive",0.0815041995425442,0.0879152593565017,0.0882271765489259
400,80,0.02,1,1,0,"gfmla","oracle",0.226570269914409,0.102150211296959,0.102578115210536
400,80,0.02,1,1,0,"gfmla","rc",0.118715003962388,0.126620426117454,0.127153167832867
400,80,0.02,1,1,0,"gfmla","mccs",0.113104566727047,0.127467481653341,0.128023159772217
400,80,0.02,1,1,0,"ipw","naive",-0.0611836728823025,0.0950832187217259,0.0954828514123124
400,80,0.02,1,1,0,"ipw","oracle",0.0290485916281789,0.111847965846197,0.112336144579011
400,80,0.02,1,1,0,"ipw","rc",-0.15871379433896,0.133539799038703,0.134204799686875
400,80,0.02,1,1,0,"ipw","mccs",-0.080557999040375,0.135975609943491,0.136802825983489
400,80,0.02,1,1,0,"dr","naive",0.0892615218756933,0.0901291773507932,0.0904802488869604
400,80,0.02,1,1,0,"dr","oracle",0.21441858650376,0.104011570040216,0.104588863839457
400,80,0.02,1,1,0,"dr","rc",0.133020673669432,0.131924764837012,0.132570953244721
400,80,0.02,1,1,0,"dr","mccs",0.132701255611984,0.13212393965304,0.132825993459549
400,80,0.02,1,0,1,"gfmla","naive",-0.0757582393785549,0.0913096618636641,0.0916087431058546
400,80,0.02,1,0,1,"gfmla","oracle",0.0259041432346845,0.109007316964423,0.109380696046605
400,80,0.02,1,0,1,"gfmla","rc",-0.183210061011749,0.124986376526572,0.125404798062632
400,80,0.02,1,0,1,"gfmla","mccs",-0.111008582724588,0.127464849361341,0.127982966053761
400,80,0.02,1,0,1,"ipw","naive",0.150598209408289,0.092471279136412,0.0929781952112375
400,80,0.02,1,0,1,"ipw","oracle",0.300211603661136,0.121109426270639,0.122732713146779
400,80,0.02,1,0,1,"ipw","rc",0.248681027276329,0.138040065145873,0.139091005589405
400,80,0.02,1,0,1,"ipw","mccs",0.259785984594466,0.141305674901242,0.142418340883999
400,80,0.02,1,0,1,"dr","naive",0.138822229563172,0.091735676510688,0.092211121032973
400,80,0.02,1,0,1,"dr","oracle",0.293439248580918,0.116353378650173,0.117638932639847
400,80,0.02,1,0,1,"dr","rc",0.226183063142097,0.13798239997932,0.138989407563274
400,80,0.02,1,0,1,"dr","mccs",0.237394639981385,0.140566907653875,0.141691248069347
400,80,0.02,1,1,1,"gfmla","naive",-0.0757582393785549,0.0913096618636641,0.0916087431058546
400,80,0.02,1,1,1,"gfmla","oracle",0.0259041432346845,0.109007316964423,0.109380696046605
400,80,0.02,1,1,1,"gfmla","rc",-0.183210061011749,0.124986376526572,0.125404798062632
400,80,0.02,1,1,1,"gfmla","mccs",-0.111008582724588,0.127464849361341,0.127982966053761
400,80,0.02,1,1,1,"ipw","naive",-0.0611836730902171,0.0950832187218134,0.0954828514123884
400,80,0.02,1,1,1,"ipw","oracle",0.0290485916358685,0.111847965845955,0.112336144578766
400,80,0.02,1,1,1,"ipw","rc",-0.158713794521313,0.133539799040591,0.134204799688814
400,80,0.02,1,1,1,"ipw","mccs",-0.0805579990382218,0.135975609943436,0.136802825983431
400,80,0.02,1,1,1,"dr","naive",-0.0701274632416148,0.0926512964077903,0.0929922579298968
400,80,0.02,1,1,1,"dr","oracle",0.0119032592083531,0.110894678436927,0.111361920649223
400,80,0.02,1,1,1,"dr","rc",-0.170536258613329,0.129127898913531,0.129679761847586
400,80,0.02,1,1,1,"dr","mccs",-0.0956639590042371,0.130853226465002,0.131521406935108
2000,80,0.02,1,0,0,"gfmla","naive",0.0937704211047004,0.0445826887728445,0.0446189553919862
2000,80,0.02,1,0,0,"gfmla","oracle",0.153799304300535,0.0531300520058125,0.0531744671335302
2000,80,0.02,1,0,0,"gfmla","rc",0.142080024953951,0.0674434235191107,0.0675083799194577
2000,80,0.02,1,0,0,"gfmla","mccs",0.143072843826143,0.0678373068789175,0.0679117815820813
2000,80,0.02,1,0,0,"ipw","naive",0.103950307779564,0.0483763239056612,0.0484497481409404
2000,80,0.02,1,0,0,"ipw","oracle",0.129153380282881,0.0626593557817395,0.0628240136327207
2000,80,0.02,1,0,0,"ipw","rc",0.175964756688893,0.0813925302411695,0.08165965087204
2000,80,0.02,1,0,0,"ipw","mccs",0.179639654376038,0.0828561207966611,0.0831825076905058
2000,80,0.02,1,0,0,"dr","naive",0.0993142283338459,0.0478922213713656,0.047947885702931
2000,80,0.02,1,0,0,"dr","oracle",0.124647237768645,0.0627694947652543,0.0629501062116278
2000,80,0.02,1,0,0,"dr","rc",0.165920092328378,0.0794510420746668,0.0795871673905598
2000,80,0.02,1,0,0,"dr","mccs",0.171013227155228,0.0814686810727883,0.0816390060335816
2000,80,0.02,1,1,0,"gfmla","naive",0.0937704211047004,0.0445826887728445,0.0446189553919862
2000,80,0.02,1,1,0,"gfmla","oracle",0.153799304300535,0.0531300520058125,0.0531744671335302
2000,80,0.02,1,1,0,"gfmla","rc",0.142080024953951,0.0674434235191107,0.0675083799194577
2000,80,0.02,1,1,0,"gfmla","mccs",0.143072843826143,0.0678373068789175,0.0679117815820813
2000,80,0.02,1,1,0,"ipw","naive",-0.0119307204140147,0.0457658567179196,0.0458047563907755
2000,80,0.02,1,1,0,"ipw","oracle",0.0151862506178573,0.0556682455237683,0.0557434004766108
2000,80,0.02,1,1,0,"ipw","rc",-0.0867961165869343,0.0684502600952031,0.0685206931640909
2000,80,0.02,1,1,0,"ipw","mccs",-0.00920410320183525,0.0703974025321803,0.0704888099601185
2000,80,0.02,1,1,0,"dr","naive",0.089800047250833,0.0455714282415927,0.045615137315031
2000,80,0.02,1,1,0,"dr","oracle",0.151833481664003,0.0566068400258186,0.0566817170094629
2000,80,0.02,1,1,0,"dr","rc",0.137152785296729,0.0705249646716759,0.0706163830666565
2000,80,0.02,1,1,0,"dr","mccs",0.142713345187986,0.0721399995031216,0.0722488231230417
2000,80,0.02,1,0,1,"gfmla","naive",-0.0136620791732584,0.0445989682156657,0.0446331453403176
2000,80,0.02,1,0,1,"gfmla","oracle",0.0103720000602807,0.0529161033108938,0.0529575324996209
2000,80,0.02,1,0,1,"gfmla","rc",-0.0931486778609666,0.0652635277412823,0.0653168515000558
2000,80,0.02,1,0,1,"gfmla","mccs",-0.0200385068151939,0.0659114092448518,0.0659785472391404
2000,80,0.02,1,0,1,"ipw","naive",0.103950307651387,0.0483763239063301,0.0484497481416182
2000,80,0.02,1,0,1,"ipw","oracle",0.129153380284417,0.0626593557817572,0.0628240136327388
2000,80,0.02,1,0,1,"ipw","rc",0.175964756799485,0.0813925302406443,0.0816596508715024
2000,80,0.02,1,0,1,"ipw","mccs",0.179639654802717,0.0828561207959077,0.083182507689726
2000,80,0.02,1,0,1,"dr","naive",0.105320769328506,0.0483913914488765,0.048465398048507
2000,80,0.02,1,0,1,"dr","oracle",0.128302004882769,0.061668542365607,0.0618128740466024
2000,80,0.02,1,0,1,"dr","rc",0.176921729354721,0.0813344892606761,0.0816025618231515
2000,80,0.02,1,0,1,"dr","mccs",0.180337173831105,0.082687819851777,0.0830135490914229
2000,80,0.02,1,1,1,"gfmla","naive",-0.0136620791732584,0.0445989682156657,0.0446331453403176
2000,80,0.02,1,1,1,"gfmla","oracle",0.0103720000602807,0.0529161033108938,0.0529575324996209
2000,80,0.02,1,1,1,"gfmla","rc",-0.0931486778609666,0.0652635277412823,0.0653168515000558
2000,80,0.02,1,1,1,"gfmla","mccs",-0.0200385068151939,0.0659114092448518,0.0659785472391404
2000,80,0.02,1,1,1,"ipw","naive",-0.0119307203043644,0.0457658567178485,0.0458047563907045
2000,80,0.02,1,1,1,"ipw","oracle",0.0151862505806986,0.0556682455238902,0.055743400476734
2000,80,0.02,1,1,1,"ipw","rc",-0.0867961165743124,0.0684502600952061,0.0685206931640939
2000,80,0.02,1,1,1,"ipw","mccs",-0.0092041031999585,0.0703974025321708,0.070488809960109
2000,80,0.02,1,1,1,"dr","naive",-0.0121475514706268,0.0459055465373525,0.045944869247959
2000,80,0.02,1,1,1,"dr","oracle",0.0135967407966542,0.0554271930186425,0.0554984468177973
2000,80,0.02,1,1,1,"dr","rc",-0.089153311454808,0.0688538826810762,0.0689258110037775
2000,80,0.02,1,1,1,"dr","mccs",-0.0108322124773458,0.0709597929813148,0.0710544331338648
400,80,0.02,2,0,0,"gfmla","naive",-0.0350789302533474,0.100140742549841,0.100593205548995
400,80,0.02,2,0,0,"gfmla","oracle",0.00220993843725181,0.120606100775214,0.121223776817225
400,80,0.02,2,0,0,"gfmla","rc",-0.0547406985388708,0.152959917676363,0.153812871284151
400,80,0.02,2,0,0,"gfmla","mccs",-0.075527423864115,0.156371851531294,0.15729895817087
400,80,0.02,2,0,0,"ipw","naive",0.0339284369018974,0.108572036423967,0.109182258297602
400,80,0.02,2,0,0,"ipw","oracle",0.104394989425663,0.125053438240551,0.12570660267434
400,80,0.02,2,0,0,"ipw","rc",0.06450942751964,0.177916126902299,0.179319845711172
400,80,0.02,2,0,0,"ipw","mccs",0.0499453869348599,0.190218960959545,0.192039423366825
400,80,0.02,2,0,0,"dr","naive",0.0247220917695558,0.106039393543541,0.106538969673992
400,80,0.02,2,0,0,"dr","oracle",0.0957308907641633,0.122176362262189,0.122684635562471
400,80,0.02,2,0,0,"dr","rc",0.0605933188142141,0.171936486954634,0.172980583489954
400,80,0.02,2,0,0,"dr","mccs",0.0281725910199021,0.18511974773143,0.186628589108323
400,80,0.02,2,1,0,"gfmla","naive",-0.0350789302533474,0.100140742549841,0.100593205548995
400,80,0.02,2,1,0,"gfmla","oracle",0.00220993843725181,0.120606100775214,0.121223776817225
400,80,0.02,2,1,0,"gfmla","rc",-0.0547406985388708,0.152959917676363,0.153812871284151
400,80,0.02,2,1,0,"gfmla","mccs",-0.075527423864115,0.156371851531294,0.15729895817087
400,80,0.02,2,1,0,"ipw","naive",-0.0987004295118417,0.102067943382184,0.102518255134819
400,80,0.02,2,1,0,"ipw","oracle",-0.0751131186223101,0.128948401148526,0.129849315444331
400,80,0.02,2,1,0,"ipw","rc",-0.211462025221295,0.151417355106543,0.152251624622494
400,80,0.02,2,1,0,"ipw","mccs",-0.133784672596611,0.157587382681588,0.158662671596717
400,80,0.02,2,1,0,"dr","naive",-0.00384146875351721,0.101849437551509,0.102461809719625
400,80,0.02,2,1,0,"dr","oracle",0.0377535656193662,0.119989307474524,0.120809836278204
400,80,0.02,2,1,0,"dr","rc",0.00617671239861328,0.157865007843667,0.159189586556597
400,80,0.02,2,1,0,"dr","mccs",-0.018473269824393,0.166582273817625,0.168151713863112
400,80,0.02,2,0,1,"gfmla","naive",-0.141227510144496,0.100878301321564,0.101245491887912
400,80,0.02,2,0,1,"gfmla","oracle",-0.117343250306067,0.123591116852501,0.12407670783974
400,80,0.02,2,0,1,"gfmla","rc",-0.28983048765041,0.146524906157638,0.14710154053886
400,80,0.02,2,0,1,"gfmla","mccs",-0.216800271439437,0.151009198145444,0.151698187510909
400,80,0.02,2,0,1,"ipw","naive",0.0339284372294706,0.108572036422119,0.109182258295699
400,80,0.02,2,0,1,"ipw","oracle",0.1043949892017,0.125053438241019,0.125706602674829
400,80,0.02,2,0,1,"ipw","rc",0.0645094276527921,0.177916126900645,0.179319845709478
400,80,0.02,2,0,1,"ipw","mccs",0.0499453869364437,0.190218960959768,0.192039423367051
400,80,0.02,2,0,1,"dr","naive",0.036814835633564,0.108014889661351,0.108527735589611
400,80,0.02,2,0,1,"dr","oracle",0.09911859758046,0.125157763346091,0.125718227936387
400,80,0.02,2,0,1,"dr","rc",0.0696403536207094,0.175477560591333,0.17656046268796
400,80,0.02,2,0,1,"dr","mccs",0.0537720565649712,0.188599915864022,0.190133565764912
400,80,0.02,2,1,1,"gfmla","naive",-0.141227510144496,0.100878301321564,0.101245491887912
400,80,0.02,2,1,1,"gfmla","oracle",-0.117343250306067,0.123591116852501,0.12407670783974
400,80,0.02,2,1,1,"gfmla","rc",-0.28983048765041,0.146524906157638,0.14710154053886
400,80,0.02,2,1,1,"gfmla","mccs",-0.216800271439437,0.151009198145444,0.151698187510909
400,80,0.02,2,1,1,"ipw","naive",-0.098700428675498,0.102067943383991,0.102518255136681
400,80,0.02,2,1,1,"ipw","oracle",-0.0751131184948067,0.128948401149346,0.12984931544518
400,80,0.02,2,1,1,"ipw","rc",-0.211462025546316,0.151417355106011,0.152251624621945
400,80,0.02,2,1,1,"ipw","mccs",-0.133784672563279,0.15758738268155,0.158662671596676
400,80,0.02,2,1,1,"dr","naive",-0.102873031594569,0.102553030092404,0.103016015554564
400,80,0.02,2,1,1,"dr","oracle",-0.0841486135618181,0.125925739523618,0.126507825635339
400,80,0.02,2,1,1,"dr","rc",-0.219605865562548,0.151433973568867,0.152246916381946
400,80,0.02,2,1,1,"dr","mccs",-0.144707209052371,0.160310892127339,0.161441726953342
2000,80,0.02,2,0,0,"gfmla","naive",0.128429882220899,0.0444514426185955,0.0444940423275801
2000,80,0.02,2,0,0,"gfmla","oracle",0.173321019280726,0.0552553385542726,0.0553091384597028
2000,80,0.02,2,0,0,"gfmla","rc",0.192343947385098,0.0664267653855794,0.0664990971955563
2000,80,0.02,2,0,0,"gfmla","mccs",0.191931220726288,0.0667354325819226,0.0668232316605942
2000,80,0.02,2,0,0,"ipw","naive",0.124989778540795,0.0477112337953948,0.0477826307328709
2000,80,0.02,2,0,0,"ipw","oracle",0.18683750460672,0.0638162309235877,0.064001281218196
2000,80,0.02,2,0,0,"ipw","rc",0.178368556864903,0.0775492064585828,0.0777527820844024
2000,80,0.02,2,0,0,"ipw","mccs",0.178136682684951,0.0777820298665916,0.078038000088975
2000,80,0.02,2,0,0,"dr","naive",0.127505151500881,0.0481089847639627,0.0481668085708155
2000,80,0.02,2,0,0,"dr","oracle",0.196783401511581,0.0623855276606358,0.0623971451453449
2000,80,0.02,2,0,0,"dr","rc",0.185973214667284,0.0784959686965225,0.0786349745875167
2000,80,0.02,2,0,0,"dr","mccs",0.185191655234058,0.0789364276753219,0.0791014803329737
2000,80,0.02,2,1,0,"gfmla","naive",0.128429882220899,0.0444514426185955,0.0444940423275801
2000,80,0.02,2,1,0,"gfmla","oracle",0.173321019280726,0.0552553385542726,0.0553091384597028
2000,80,0.02,2,1,0,"gfmla","rc",0.192343947385098,0.0664267653855794,0.0664990971955563
2000,80,0.02,2,1,0,"gfmla","mccs",0.191931220726288,0.0667354325819226,0.0668232316605942
2000,80,0.02,2,1,0,"ipw","naive",0.0554473179925092,0.0472510921105023,0.0473302621795402
2000,80,0.02,2,1,0,"ipw","oracle",0.049868605145895,0.0688336578933468,0.0693539604435466
