"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,80,0.25,1,0,0,"gfmla","naive",0.644180184878488,0.0751372184401024,0.0768321296085782
400,80,0.25,1,0,0,"gfmla","oracle",0.778118603271511,0.0863177846013027,0.0893886839003029
400,80,0.25,1,0,0,"gfmla","rc",0.737911944564969,0.0873691529501262,0.0900316990176879
400,80,0.25,1,0,0,"gfmla","mccs",0.748436469199427,0.0890307246173357,0.0917433583512951
400,80,0.25,1,0,0,"ipw","naive",0.737276266969234,0.119129985473532,0.122725742792934
400,80,0.25,1,0,0,"ipw","oracle",0.849627377413142,0.101606452906428,0.10355922058689
400,80,0.25,1,0,0,"ipw","rc",0.864960412597214,0.145961051526525,0.151495301865412
400,80,0.25,1,0,0,"ipw","mccs",0.902713830390282,0.149452163410083,0.155673621189587
400,80,0.25,1,0,0,"dr","naive",0.686091022991693,0.107682137580827,0.115120477090895
400,80,0.25,1,0,0,"dr","oracle",0.828496725085711,0.110223645497945,0.113226965784219
400,80,0.25,1,0,0,"dr","rc",0.801568754163753,0.130081295006641,0.141577859475398
400,80,0.25,1,0,0,"dr","mccs",0.835249842107296,0.129944934479065,0.14161231389642
400,80,0.25,1,1,0,"gfmla","naive",0.644180184878488,0.0751372184401024,0.0768321296085782
400,80,0.25,1,1,0,"gfmla","oracle",0.778118603271511,0.0863177846013027,0.0893886839003029
400,80,0.25,1,1,0,"gfmla","rc",0.737911944564969,0.0873691529501262,0.0900316990176879
400,80,0.25,1,1,0,"gfmla","mccs",0.748436469199427,0.0890307246173357,0.0917433583512951
400,80,0.25,1,1,0,"ipw","naive",0.731984373830693,0.137250009183775,0.143488604609312
400,80,0.25,1,1,0,"ipw","oracle",0.816442587147171,0.117348013169913,0.121838044188012
400,80,0.25,1,1,0,"ipw","rc",0.847578639975081,0.169923298410062,0.179080764174783
400,80,0.25,1,1,0,"ipw","mccs",0.881825266162994,0.172237497200272,0.182366899901191
400,80,0.25,1,1,0,"dr","naive",0.717187314886062,0.117139128067523,0.130202141559713
400,80,0.25,1,1,0,"dr","oracle",0.851421120436869,0.122548293808034,0.126987043523697
400,80,0.25,1,1,0,"dr","rc",0.841149021842764,0.140938997259145,0.159584990302509
400,80,0.25,1,1,0,"dr","mccs",0.863524719080843,0.13709593025147,0.155173541189294
400,80,0.25,1,0,1,"gfmla","naive",0.614937768423087,0.0776931401932116,0.0810913585806393
400,80,0.25,1,0,1,"gfmla","oracle",0.720759545413978,0.089018520088474,0.0955579059992082
400,80,0.25,1,0,1,"gfmla","rc",0.688212764525931,0.0896202641890097,0.0946605482997705
400,80,0.25,1,0,1,"gfmla","mccs",0.704530350596349,0.0910497841840171,0.0965847292822685
400,80,0.25,1,0,1,"ipw","naive",0.737276267288835,0.119129985428694,0.122725742744861
400,80,0.25,1,0,1,"ipw","oracle",0.849627377649368,0.101606452904274,0.103559220584786
400,80,0.25,1,0,1,"ipw","rc",0.86496041193578,0.145961051581345,0.15149530192407
400,80,0.25,1,0,1,"ipw","mccs",0.902713830390282,0.149452163410083,0.155673621189587
400,80,0.25,1,0,1,"dr","naive",0.731996218592034,0.13570898909595,0.146235554696743
400,80,0.25,1,0,1,"dr","oracle",0.80942838007522,0.12140225803983,0.1265350747734
400,80,0.25,1,0,1,"dr","rc",0.860577700826171,0.166127903462385,0.182530520881323
400,80,0.25,1,0,1,"dr","mccs",0.901575516689641,0.166751856181366,0.184850472512962
400,80,0.25,1,1,1,"gfmla","naive",0.614937768423087,0.0776931401932116,0.0810913585806393
400,80,0.25,1,1,1,"gfmla","oracle",0.720759545413978,0.089018520088474,0.0955579059992082
400,80,0.25,1,1,1,"gfmla","rc",0.688212764525931,0.0896202641890097,0.0946605482997705
400,80,0.25,1,1,1,"gfmla","mccs",0.704530350596349,0.0910497841840171,0.0965847292822685
400,80,0.25,1,1,1,"ipw","naive",0.731984373973834,0.137250009131363,0.143488604552217
400,80,0.25,1,1,1,"ipw","oracle",0.816442587663535,0.117348013167724,0.121838044186158
400,80,0.25,1,1,1,"ipw","rc",0.847578639243363,0.169923298529509,0.179080764305359
400,80,0.25,1,1,1,"ipw","mccs",0.881825264796612,0.172237497477615,0.18236690020775
400,80,0.25,1,1,1,"dr","naive",0.735090630312105,0.1508952746953,0.168067177380665
400,80,0.25,1,1,1,"dr","oracle",0.777627783885021,0.140912846930305,0.15156838120356
400,80,0.25,1,1,1,"dr","rc",0.853221713355424,0.180020005749575,0.204162143772824
400,80,0.25,1,1,1,"dr","mccs",0.889143774270175,0.176766892336545,0.201631792297675
