"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,80,0.01,1000001,0,0,"gfmla","naive",0.175503364473106,0.102533160278226,0.103005216551267
400,80,0.01,1000001,0,0,"gfmla","oracle",0.240266119604876,0.113478979351757,0.114003579687638
400,80,0.01,1000001,0,0,"gfmla","rc",0.214047426919909,0.124850278096543,0.125472027290036
400,80,0.01,1000001,0,0,"gfmla","mccs",0.217970280492294,0.125635531778453,0.126294209221733
400,80,0.01,1000001,0,0,"ipw","naive",0.183638515289578,0.108937448361021,0.10954268718364
400,80,0.01,1000001,0,0,"ipw","oracle",0.242215225632032,0.119406920023123,0.120102045329389
400,80,0.01,1000001,0,0,"ipw","rc",0.215111413449239,0.134747041730481,0.135646597008618
400,80,0.01,1000001,0,0,"ipw","mccs",0.224074106684411,0.137243266664208,0.1382436112316
400,80,0.01,1000001,0,0,"dr","naive",0.196916662134967,0.107924007827021,0.108530052638074
400,80,0.01,1000001,0,0,"dr","oracle",0.256605748350979,0.119074198802509,0.119755740762847
400,80,0.01,1000001,0,0,"dr","rc",0.23570166922621,0.133685900211257,0.134609710943655
400,80,0.01,1000001,0,0,"dr","mccs",0.241836362233376,0.136206456242899,0.137253195852882
400,80,0.01,1000001,1,0,"gfmla","naive",0.175503364473106,0.102533160278226,0.103005216551267
400,80,0.01,1000001,1,0,"gfmla","oracle",0.240266119604876,0.113478979351757,0.114003579687638
400,80,0.01,1000001,1,0,"gfmla","rc",0.214047426919909,0.124850278096543,0.125472027290036
400,80,0.01,1000001,1,0,"gfmla","mccs",0.217970280492294,0.125635531778453,0.126294209221733
400,80,0.01,1000001,1,0,"ipw","naive",0.142130553570905,0.10989786322947,0.110585122893124
400,80,0.01,1000001,1,0,"ipw","oracle",0.163335220828884,0.122062804807085,0.123064493905526
400,80,0.01,1000001,1,0,"ipw","rc",0.155032586548021,0.135986560659781,0.137085301182133
400,80,0.01,1000001,1,0,"ipw","mccs",0.171418728637091,0.138004443737816,0.139221334306301
400,80,0.01,1000001,1,0,"dr","naive",0.201855025902106,0.107911308609794,0.108668462759215
400,80,0.01,1000001,1,0,"dr","oracle",0.248785081643479,0.120064105837998,0.121104083265905
400,80,0.01,1000001,1,0,"dr","rc",0.244139602811882,0.133789605918817,0.135018314574411
400,80,0.01,1000001,1,0,"dr","mccs",0.2502169043193,0.136567266329815,0.137883889504058
400,80,0.01,1000001,0,1,"gfmla","naive",0.128900659743317,0.10264197571407,0.103063719439916
400,80,0.01,1000001,0,1,"gfmla","oracle",0.168739928916076,0.113548022868422,0.114023082079292
400,80,0.01,1000001,0,1,"gfmla","rc",0.143657057996839,0.124648018109597,0.125202562003337
400,80,0.01,1000001,0,1,"gfmla","mccs",0.160401165600754,0.124744781492863,0.125340735868116
400,80,0.01,1000001,0,1,"ipw","naive",0.183638514784692,0.10893744835955,0.109542687182107
400,80,0.01,1000001,0,1,"ipw","oracle",0.242215225353192,0.119406920019522,0.120102045325673
400,80,0.01,1000001,0,1,"ipw","rc",0.215111413573226,0.134747041730952,0.135646597009115
400,80,0.01,1000001,0,1,"ipw","mccs",0.224074106717729,0.137243266664461,0.138243611231864
400,80,0.01,1000001,0,1,"dr","naive",0.194911917417059,0.106765472149,0.107345588263032
400,80,0.01,1000001,0,1,"dr","oracle",0.259396682981658,0.118136337356362,0.118776640937783
400,80,0.01,1000001,0,1,"dr","rc",0.231708667435804,0.131856192267768,0.132728856224464
400,80,0.01,1000001,0,1,"dr","mccs",0.238999477409133,0.132923376940161,0.133856317534903
400,80,0.01,1000001,1,1,"gfmla","naive",0.128900659743317,0.10264197571407,0.103063719439916
400,80,0.01,1000001,1,1,"gfmla","oracle",0.168739928916076,0.113548022868422,0.114023082079292
400,80,0.01,1000001,1,1,"gfmla","rc",0.143657057996839,0.124648018109597,0.125202562003337
400,80,0.01,1000001,1,1,"gfmla","mccs",0.160401165600754,0.124744781492863,0.125340735868116
400,80,0.01,1000001,1,1,"ipw","naive",0.142130553498238,0.109897863227563,0.110585122891168
400,80,0.01,1000001,1,1,"ipw","oracle",0.163335220786252,0.122062804806299,0.1230644939047
400,80,0.01,1000001,1,1,"ipw","rc",0.155032586563635,0.135986560659869,0.137085301182228
400,80,0.01,1000001,1,1,"ipw","mccs",0.171418728591826,0.13800444373769,0.139221334306161
400,80,0.01,1000001,1,1,"dr","naive",0.157084667188133,0.108158664122646,0.108805554818423
400,80,0.01,1000001,1,1,"dr","oracle",0.184092105392933,0.121100696581288,0.122003742477237
