"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,30,0.16,5000001,0,0,"gfmla","naive",0.675258356912601,0.0330604753489547,0.0331937721174325
400,30,0.16,5000001,0,0,"gfmla","oracle",0.727223404565911,0.0295025355234058,0.0296216997186846
400,30,0.16,5000001,0,0,"gfmla","rc",0.783912235487771,0.0382859990905239,0.0384961951321815
400,30,0.16,5000001,0,0,"gfmla","mccs",0.789160827194334,0.0403328018036687,0.0404626149929854
400,30,0.16,5000001,0,0,"ipw","naive",0.598389693232321,0.0434601339713867,0.0444099866350899
400,30,0.16,5000001,0,0,"ipw","oracle",0.668875303839213,0.0376637171085125,0.0382703552621132
400,30,0.16,5000001,0,0,"ipw","rc",0.670988532004486,0.0485527444428133,0.0500194174556164
400,30,0.16,5000001,0,0,"ipw","mccs",0.69279907666372,0.0498429176346451,0.0513240676291589
400,30,0.16,5000001,0,0,"dr","naive",0.681117521731672,0.0329627485019727,0.0332037934992607
400,30,0.16,5000001,0,0,"dr","oracle",0.740814787575386,0.0299115749200255,0.0301219344643111
400,30,0.16,5000001,0,0,"dr","rc",0.791270063601614,0.0385295965802657,0.0389454729099637
400,30,0.16,5000001,0,0,"dr","mccs",0.825910077502428,0.0421433355766345,0.0423033343388538
400,30,0.16,5000001,1,0,"gfmla","naive",0.675258356912601,0.0330604753489547,0.0331937721174325
400,30,0.16,5000001,1,0,"gfmla","oracle",0.727223404565911,0.0295025355234058,0.0296216997186846
400,30,0.16,5000001,1,0,"gfmla","rc",0.783912235487771,0.0382859990905239,0.0384961951321815
400,30,0.16,5000001,1,0,"gfmla","mccs",0.789160827194334,0.0403328018036687,0.0404626149929854
400,30,0.16,5000001,1,0,"ipw","naive",0.576483045351347,0.0328305141862078,0.0332937606444618
400,30,0.16,5000001,1,0,"ipw","oracle",0.622841796606882,0.0367679780648933,0.0373173094469164
400,30,0.16,5000001,1,0,"ipw","rc",0.638479151414013,0.0364346829274516,0.0372545624983376
400,30,0.16,5000001,1,0,"ipw","mccs",0.656704524520507,0.0377622194173209,0.0384084839886346
400,30,0.16,5000001,1,0,"dr","naive",0.669465804473486,0.0329737071374291,0.0325353333152799
400,30,0.16,5000001,1,0,"dr","oracle",0.718377060485878,0.0315023023561396,0.0317865344647378
400,30,0.16,5000001,1,0,"dr","rc",0.777849910030093,0.038001090254699,0.0374415272612533
400,30,0.16,5000001,1,0,"dr","mccs",0.79729977193959,0.0408355773618053,0.0392526229926684
400,30,0.16,5000001,0,1,"gfmla","naive",0.591765927001864,0.036303344772752,0.0366134167077298
400,30,0.16,5000001,0,1,"gfmla","oracle",0.664464491210538,0.0340322210701614,0.0343519130768731
400,30,0.16,5000001,0,1,"gfmla","rc",0.657932098492061,0.040609517697783,0.0410022389722336
400,30,0.16,5000001,0,1,"gfmla","mccs",0.671362048179251,0.042629063041004,0.043060479194869
400,30,0.16,5000001,0,1,"ipw","naive",0.598389693232321,0.0434601339713867,0.0444099866350899
400,30,0.16,5000001,0,1,"ipw","oracle",0.668875303839213,0.0376637171085125,0.0382703552621132
400,30,0.16,5000001,0,1,"ipw","rc",0.670988532004486,0.0485527444428133,0.0500194174556164
400,30,0.16,5000001,0,1,"ipw","mccs",0.69279907666372,0.0498429176346451,0.0513240676291589
400,30,0.16,5000001,0,1,"dr","naive",0.615398875270891,0.0435212495396014,0.04452369284113
400,30,0.16,5000001,0,1,"dr","oracle",0.704208734437576,0.039266047267236,0.0400147873072636
400,30,0.16,5000001,0,1,"dr","rc",0.696943667582431,0.0509454042998424,0.0529610926806496
400,30,0.16,5000001,0,1,"dr","mccs",0.720236722349037,0.054752981868533,0.056456928667918
400,30,0.16,5000001,1,1,"gfmla","naive",0.591765927001864,0.036303344772752,0.0366134167077298
400,30,0.16,5000001,1,1,"gfmla","oracle",0.664464491210538,0.0340322210701614,0.0343519130768731
400,30,0.16,5000001,1,1,"gfmla","rc",0.657932098492061,0.040609517697783,0.0410022389722336
400,30,0.16,5000001,1,1,"gfmla","mccs",0.671362048179251,0.042629063041004,0.043060479194869
400,30,0.16,5000001,1,1,"ipw","naive",0.576483045351347,0.0328305141862078,0.0332937606444618
400,30,0.16,5000001,1,1,"ipw","oracle",0.622841796606882,0.0367679780648933,0.0373173094469164
400,30,0.16,5000001,1,1,"ipw","rc",0.638479151414013,0.0364346829274516,0.0372545624983376
