"n","B","vare","seed","ps","out","method","type","est","se","bse"
400,30,0.6,7000001,0,0,"gfmla","naive",0.507363130606193,0.0295723853758962,0.0296260007390083
400,30,0.6,7000001,0,0,"gfmla","oracle",0.764967882496732,0.0293064717694749,0.0294344381085421
400,30,0.6,7000001,0,0,"gfmla","mccs",0.742400942259981,0.0529517447946156,0.0529007647472061
400,30,0.6,7000001,0,0,"ipw","naive",0.515553752100965,0.0348862115625877,0.0353562512592245
400,30,0.6,7000001,0,0,"ipw","oracle",0.719980952332827,0.0375620833105854,0.0386696969064897
400,30,0.6,7000001,0,0,"ipw","mccs",0.766818595322806,0.0631298860387461,0.0643124476046544
400,30,0.6,7000001,0,0,"dr","naive",0.521123727565141,0.0321046154896623,0.0324862015946615
400,30,0.6,7000001,0,0,"dr","oracle",0.769033420319132,0.0314568135135362,0.0318601469662097
400,30,0.6,7000001,0,0,"dr","mccs",0.803611465594089,0.0698274504364351,0.0735816653067391
400,30,0.6,7000001,1,0,"gfmla","naive",0.507363130606193,0.0295723853758962,0.0296260007390083
400,30,0.6,7000001,1,0,"gfmla","oracle",0.764967882496732,0.0293064717694749,0.0294344381085421
400,30,0.6,7000001,1,0,"gfmla","mccs",0.742400942259981,0.0529517447946156,0.0529007647472061
400,30,0.6,7000001,1,0,"ipw","naive",0.487270903933774,0.0336370632964559,0.033974338737167
400,30,0.6,7000001,1,0,"ipw","oracle",0.672674559566115,0.0347376387412814,0.0354693087963733
400,30,0.6,7000001,1,0,"ipw","mccs",0.679807233776811,0.0618908126591866,0.0633073269090063
400,30,0.6,7000001,1,0,"dr","naive",0.50296578197762,0.0325471062142548,0.0328164259137452
400,30,0.6,7000001,1,0,"dr","oracle",0.761404796170905,0.0318563679433229,0.032300774022168
400,30,0.6,7000001,1,0,"dr","mccs",0.758521422410022,0.0681769859289404,0.0712979606947891
400,30,0.6,7000001,0,1,"gfmla","naive",0.505225676133297,0.0323218619231582,0.0325686596480361
400,30,0.6,7000001,0,1,"gfmla","oracle",0.694577387600484,0.0337193334185246,0.0341568216396691
400,30,0.6,7000001,0,1,"gfmla","mccs",0.70422120794009,0.0493039134362892,0.0497695224781714
400,30,0.6,7000001,0,1,"ipw","naive",0.515553752048871,0.0348862115628894,0.035356251259571
400,30,0.6,7000001,0,1,"ipw","oracle",0.719980952332827,0.0375620833105778,0.0386696969064831
400,30,0.6,7000001,0,1,"ipw","mccs",0.766818595322806,0.0631298860387461,0.0643124476046544
400,30,0.6,7000001,0,1,"dr","naive",0.520390808364889,0.0360903262314451,0.0366154823379662
400,30,0.6,7000001,0,1,"dr","oracle",0.749130539315664,0.0398963834657339,0.042647212729138
400,30,0.6,7000001,0,1,"dr","mccs",0.785058933534163,0.0656934266466112,0.0670952686992336
400,30,0.6,7000001,1,1,"gfmla","naive",0.505225676133297,0.0323218619231582,0.0325686596480361
400,30,0.6,7000001,1,1,"gfmla","oracle",0.694577387600484,0.0337193334185246,0.0341568216396691
400,30,0.6,7000001,1,1,"gfmla","mccs",0.70422120794009,0.0493039134362892,0.0497695224781714
400,30,0.6,7000001,1,1,"ipw","naive",0.487270903566036,0.0336370632928119,0.0339743387333626
400,30,0.6,7000001,1,1,"ipw","oracle",0.672674559566115,0.0347376387412814,0.0354693087963733
400,30,0.6,7000001,1,1,"ipw","mccs",0.679807233776811,0.0618908126591866,0.0633073269090063
400,30,0.6,7000001,1,1,"dr","naive",0.502433543155823,0.0336881570165872,0.0340211219970411
400,30,0.6,7000001,1,1,"dr","oracle",0.694560605681926,0.03193132962911,0.0329062195414061
400,30,0.6,7000001,1,1,"dr","mccs",0.721860625462418,0.0610159137736256,0.063825639701861
2000,30,0.6,7000001,0,0,"gfmla","naive",0.483168867095803,0.0130712862721625,0.0130815521249135
2000,30,0.6,7000001,0,0,"gfmla","oracle",0.74707777070334,0.0134314852081264,0.0134470897960551
2000,30,0.6,7000001,0,0,"gfmla","mccs",0.736356626780488,0.0247975826508742,0.0248504020449675
2000,30,0.6,7000001,0,0,"ipw","naive",0.451206474793186,0.0163458543296077,0.0164340739551443
2000,30,0.6,7000001,0,0,"ipw","oracle",0.72369360045507,0.0217965216138797,0.0220247934017238
2000,30,0.6,7000001,0,0,"ipw","mccs",0.658750580731866,0.0325891239160654,0.033075247762195
2000,30,0.6,7000001,0,0,"dr","naive",0.484009742100313,0.0136361849995418,0.0136802987657885
2000,30,0.6,7000001,0,0,"dr","oracle",0.744514782600632,0.0160944609570387,0.0162090250470357
2000,30,0.6,7000001,0,0,"dr","mccs",0.7476220549585,0.0365963701065084,0.03837776856267
2000,30,0.6,7000001,1,0,"gfmla","naive",0.483168867095803,0.0130712862721625,0.0130815521249135
2000,30,0.6,7000001,1,0,"gfmla","oracle",0.74707777070334,0.0134314852081264,0.0134470897960551
2000,30,0.6,7000001,1,0,"gfmla","mccs",0.736356626780488,0.0247975826508742,0.0248504020449675
2000,30,0.6,7000001,1,0,"ipw","naive",0.447531512380718,0.0141036021806303,0.0141341600356609
2000,30,0.6,7000001,1,0,"ipw","oracle",0.680693404806713,0.0146915507456381,0.0147339711335732
2000,30,0.6,7000001,1,0,"ipw","mccs",0.633263495071978,0.0256974022194381,0.0258853302123527
2000,30,0.6,7000001,1,0,"dr","naive",0.484083231737758,0.0137538361053016,0.0137840828833225
2000,30,0.6,7000001,1,0,"dr","oracle",0.749549739644721,0.0140388040972664,0.0140613921068841
2000,30,0.6,7000001,1,0,"dr","mccs",0.74226281165618,0.0311508499069528,0.0316576104971026
2000,30,0.6,7000001,0,1,"gfmla","naive",0.462815338557787,0.0143596309146277,0.014382671633924
2000,30,0.6,7000001,0,1,"gfmla","oracle",0.692531860621851,0.0156420410640567,0.0156868221791725
2000,30,0.6,7000001,0,1,"gfmla","mccs",0.671235085265745,0.0232984685756414,0.0233504625420805
2000,30,0.6,7000001,0,1,"ipw","naive",0.451206474770255,0.0163458543292289,0.016434073954766
2000,30,0.6,7000001,0,1,"ipw","oracle",0.72369360045507,0.0217965216138797,0.0220247934017238
2000,30,0.6,7000001,0,1,"ipw","mccs",0.658750580731866,0.0325891239160654,0.033075247762195
2000,30,0.6,7000001,0,1,"dr","naive",0.47188140224994,0.0164197931087599,0.0164899354067722
2000,30,0.6,7000001,0,1,"dr","oracle",0.744135238990659,0.0205217323889794,0.0206052061987014
2000,30,0.6,7000001,0,1,"dr","mccs",0.72314692375108,0.0359213497787705,0.0362343761280598
2000,30,0.6,7000001,1,1,"gfmla","naive",0.462815338557787,0.0143596309146277,0.014382671633924
2000,30,0.6,7000001,1,1,"gfmla","oracle",0.692531860621851,0.0156420410640567,0.0156868221791725
2000,30,0.6,7000001,1,1,"gfmla","mccs",0.671235085265745,0.0232984685756414,0.0233504625420805
2000,30,0.6,7000001,1,1,"ipw","naive",0.447531512380718,0.0141036021806303,0.0141341600356609
2000,30,0.6,7000001,1,1,"ipw","oracle",0.680693404806713,0.0146915507456381,0.0147339711335732
2000,30,0.6,7000001,1,1,"ipw","mccs",0.633263495071978,0.0256974022194381,0.0258853302123527
2000,30,0.6,7000001,1,1,"dr","naive",0.463920516619671,0.0136896864679335,0.0137111449411443
2000,30,0.6,7000001,1,1,"dr","oracle",0.695447750149028,0.0143903276870718,0.0144240648376377
2000,30,0.6,7000001,1,1,"dr","mccs",0.680803747856346,0.0250508623920791,0.0251742796230211
400,30,0.6,7000002,0,0,"gfmla","naive",0.474217872424017,0.0295818922473351,0.0299370523695012
400,30,0.6,7000002,0,0,"gfmla","oracle",0.770452369721387,0.0290139886226921,0.0292693230197644
400,30,0.6,7000002,0,0,"gfmla","mccs",0.736758151174751,0.0547305541980371,0.055715731831642
400,30,0.6,7000002,0,0,"ipw","naive",0.57624103092076,0.0367229591415056,0.0375749694119644
400,30,0.6,7000002,0,0,"ipw","oracle",0.846487592712657,0.0486987417144329,0.0502803778970696
400,30,0.6,7000002,0,0,"ipw","mccs",1.01638298033605,0.139632725869417,0.140466151018713
400,30,0.6,7000002,0,0,"dr","naive",0.49223518537743,0.0313516158750364,0.0293910936413206
400,30,0.6,7000002,0,0,"dr","oracle",0.772620183360338,0.0330828576859722,0.0362095332463318
400,30,0.6,7000002,0,0,"dr","mccs",0.851496211355219,0.117089934509029,0.1336695073633
400,30,0.6,7000002,1,0,"gfmla","naive",0.474217872424017,0.0295818922473351,0.0299370523695012
400,30,0.6,7000002,1,0,"gfmla","oracle",0.770452369721387,0.0290139886226921,0.0292693230197644
400,30,0.6,7000002,1,0,"gfmla","mccs",0.736758151174751,0.0547305541980371,0.055715731831642
400,30,0.6,7000002,1,0,"ipw","naive",0.521763135080689,0.0441913501825587,0.0451703574872313
400,30,0.6,7000002,1,0,"ipw","oracle",0.764645512563811,0.0558690194673006,0.0580758426081464
400,30,0.6,7000002,1,0,"ipw","mccs",0.789230543491285,0.0921598394965119,0.0926906910319354
400,30,0.6,7000002,1,0,"dr","naive",0.491697594650907,0.0318093309556403,0.0330149670663786
400,30,0.6,7000002,1,0,"dr","oracle",0.779012862817414,0.0315980945995832,0.0328434694061526
400,30,0.6,7000002,1,0,"dr","mccs",0.771751162218375,0.0595361851137007,0.062190443501585
400,30,0.6,7000002,0,1,"gfmla","naive",0.485068851594289,0.0376441277100669,0.0380321270177558
400,30,0.6,7000002,0,1,"gfmla","oracle",0.726501911486969,0.0391436381393309,0.0396489304701967
400,30,0.6,7000002,0,1,"gfmla","mccs",0.700114546366528,0.0519546173810465,0.0526051507779337
400,30,0.6,7000002,0,1,"ipw","naive",0.57624103092076,0.0367229591415056,0.0375749694119644
400,30,0.6,7000002,0,1,"ipw","oracle",0.846487592712657,0.0486987417144329,0.0502803778970696
400,30,0.6,7000002,0,1,"ipw","mccs",1.01638298033605,0.139632725869417,0.140466151018713
400,30,0.6,7000002,0,1,"dr","naive",0.55953886810421,0.0434540605199048,0.0434755844084882
400,30,0.6,7000002,0,1,"dr","oracle",0.869463669111277,0.0511986705352977,0.0534663627932424
400,30,0.6,7000002,0,1,"dr","mccs",1.03519276412663,0.171065091411661,0.170122433374324
400,30,0.6,7000002,1,1,"gfmla","naive",0.485068851594289,0.0376441277100669,0.0380321270177558
400,30,0.6,7000002,1,1,"gfmla","oracle",0.726501911486969,0.0391436381393309,0.0396489304701967
400,30,0.6,7000002,1,1,"gfmla","mccs",0.700114546366528,0.0519546173810465,0.0526051507779337
400,30,0.6,7000002,1,1,"ipw","naive",0.521763135080689,0.0441913501825587,0.0451703574872313
400,30,0.6,7000002,1,1,"ipw","oracle",0.764645512563811,0.0558690194673006,0.0580758426081464
400,30,0.6,7000002,1,1,"ipw","mccs",0.789230543491285,0.0921598394965119,0.0926906910319354
400,30,0.6,7000002,1,1,"dr","naive",0.527782654262308,0.0487353830282461,0.0505993726717628
400,30,0.6,7000002,1,1,"dr","oracle",0.801678786657788,0.0593878183745215,0.0622403007431472
400,30,0.6,7000002,1,1,"dr","mccs",0.82063776324426,0.103719213718705,0.105120546537947
2000,30,0.6,7000002,0,0,"gfmla","naive",0.482882569027201,0.0133989970069366,0.0134159488203444
2000,30,0.6,7000002,0,0,"gfmla","oracle",0.743355079450022,0.0129567466179717,0.012971447584217
2000,30,0.6,7000002,0,0,"gfmla","mccs",0.737023921110674,0.0248928990825518,0.0249543502197666
2000,30,0.6,7000002,0,0,"ipw","naive",0.485135008809707,0.0196256487725716,0.0197769057752807
2000,30,0.6,7000002,0,0,"ipw","oracle",0.75484625321866,0.0243521273311631,0.0246760482016571
2000,30,0.6,7000002,0,0,"ipw","mccs",0.778510951157132,0.0410796804493013,0.0416143896116327
2000,30,0.6,7000002,0,0,"dr","naive",0.476856084684216,0.0138659953371387,0.0139026081389495
2000,30,0.6,7000002,0,0,"dr","oracle",0.731434069506369,0.0138151565220946,0.0139381787751047
2000,30,0.6,7000002,0,0,"dr","mccs",0.775549083070583,0.0346903317581207,0.0349931372537681
2000,30,0.6,7000002,1,0,"gfmla","naive",0.482882569027201,0.0133989970069366,0.0134159488203444
2000,30,0.6,7000002,1,0,"gfmla","oracle",0.743355079450022,0.0129567466179717,0.012971447584217
2000,30,0.6,7000002,1,0,"gfmla","mccs",0.737023921110674,0.0248928990825518,0.0249543502197666
2000,30,0.6,7000002,1,0,"ipw","naive",0.464393591297369,0.0153648798903375,0.0154004361235544
2000,30,0.6,7000002,1,0,"ipw","oracle",0.693418700396109,0.0166840284351644,0.0167387266453037
2000,30,0.6,7000002,1,0,"ipw","mccs",0.691881059413043,0.0289908145284781,0.029179688884732
2000,30,0.6,7000002,1,0,"dr","naive",0.476977679458545,0.0133044822786567,0.0133136499744857
2000,30,0.6,7000002,1,0,"dr","oracle",0.739622383976533,0.0132124590491332,0.0132258780905474
2000,30,0.6,7000002,1,0,"dr","mccs",0.750582485641003,0.0286810607723043,0.0288415567735664
2000,30,0.6,7000002,0,1,"gfmla","naive",0.467220734444864,0.0151639825168961,0.0151870201374065
2000,30,0.6,7000002,0,1,"gfmla","oracle",0.697155697285428,0.0167030281831138,0.0167480069399916
2000,30,0.6,7000002,0,1,"gfmla","mccs",0.67852455069543,0.024293286132371,0.0243497750470487
2000,30,0.6,7000002,0,1,"ipw","naive",0.485135008655522,0.0196256487726324,0.019776905775373
2000,30,0.6,7000002,0,1,"ipw","oracle",0.75484625321866,0.0243521273311631,0.0246760482016571
2000,30,0.6,7000002,0,1,"ipw","mccs",0.778510951157132,0.0410796804493013,0.0416143896116327
2000,30,0.6,7000002,0,1,"dr","naive",0.479820233882236,0.0177466813133187,0.0177561333682967
2000,30,0.6,7000002,0,1,"dr","oracle",0.746868532338342,0.0231120958283757,0.0231669175486865
2000,30,0.6,7000002,0,1,"dr","mccs",0.777986714863563,0.039452684537255,0.0394817568081697
2000,30,0.6,7000002,1,1,"gfmla","naive",0.467220734444864,0.0151639825168961,0.0151870201374065
2000,30,0.6,7000002,1,1,"gfmla","oracle",0.697155697285428,0.0167030281831138,0.0167480069399916
2000,30,0.6,7000002,1,1,"gfmla","mccs",0.67852455069543,0.024293286132371,0.0243497750470487
2000,30,0.6,7000002,1,1,"ipw","naive",0.464393591297369,0.0153648798903375,0.0154004361235544
2000,30,0.6,7000002,1,1,"ipw","oracle",0.693418700396109,0.0166840284351644,0.0167387266453037
2000,30,0.6,7000002,1,1,"ipw","mccs",0.691881059413043,0.0289908145284781,0.029179688884732
2000,30,0.6,7000002,1,1,"dr","naive",0.470152985789049,0.015250429206932,0.0152831605623079
2000,30,0.6,7000002,1,1,"dr","oracle",0.704356367519081,0.0163900595691911,0.0164261906116464
2000,30,0.6,7000002,1,1,"dr","mccs",0.717753645379271,0.0292438548318695,0.0293479395373685
400,30,0.6,7000003,0,0,"gfmla","naive",0.470809135664412,0.0301207593268117,0.0302437391484425
400,30,0.6,7000003,0,0,"gfmla","oracle",0.749745023370283,0.0300698711620603,0.0302912612865748
400,30,0.6,7000003,0,0,"gfmla","mccs",0.757866027945989,0.0649883885537543,0.0661560655994939
400,30,0.6,7000003,0,0,"ipw","naive",0.450907888990122,0.0363293684214429,0.0369655027187951
400,30,0.6,7000003,0,0,"ipw","oracle",0.711880048534168,0.0426641546338662,0.0438385664323328
400,30,0.6,7000003,0,0,"ipw","mccs",0.652988439862258,0.0675274293925149,0.0702406989535867
400,30,0.6,7000003,0,0,"dr","naive",0.467097300182133,0.0322782558777471,0.0327271264089188
