"n","B","vare","seed","ps","out","method","type","est","se","bse"
2000,80,0.25,1000001,0,0,"gfmla","naive",0.634273516769893,0.0125845402562265,0.0126018116381685
2000,80,0.25,1000001,0,0,"gfmla","oracle",0.760671038133498,0.0128036896514811,0.0128320072964327
2000,80,0.25,1000001,0,0,"gfmla","rc",0.743016143056505,0.0149430015371138,0.0149799220009876
2000,80,0.25,1000001,0,0,"gfmla","mccs",0.757769083450967,0.0160873972921204,0.0161235286581793
2000,80,0.25,1000001,0,0,"ipw","naive",0.592146394963251,0.0240118097358577,0.0241568150657192
2000,80,0.25,1000001,0,0,"ipw","oracle",0.649480752532196,0.0493963729060166,0.050342736988033
2000,80,0.25,1000001,0,0,"ipw","rc",0.695781133750371,0.0281771499993987,0.0284585260012436
2000,80,0.25,1000001,0,0,"ipw","mccs",0.740261888787583,0.031043751518106,0.0314032357802602
2000,80,0.25,1000001,0,0,"dr","naive",0.613648148729085,0.0151668931165797,0.015208390787787
2000,80,0.25,1000001,0,0,"dr","oracle",0.733968238343803,0.0199333480501605,0.0200642262208907
2000,80,0.25,1000001,0,0,"dr","rc",0.721990094651269,0.0181963561878837,0.018294620417338
2000,80,0.25,1000001,0,0,"dr","mccs",0.771693855384194,0.0209216026938705,0.0210596121315138
2000,80,0.25,1000001,1,0,"gfmla","naive",0.634273516769893,0.0125845402562265,0.0126018116381685
2000,80,0.25,1000001,1,0,"gfmla","oracle",0.760671038133498,0.0128036896514811,0.0128320072964327
2000,80,0.25,1000001,1,0,"gfmla","rc",0.743016143056505,0.0149430015371138,0.0149799220009876
2000,80,0.25,1000001,1,0,"gfmla","mccs",0.757769083450967,0.0160873972921204,0.0161235286581793
2000,80,0.25,1000001,1,0,"ipw","naive",0.59203714063661,0.0221520365133825,0.0224524092791695
2000,80,0.25,1000001,1,0,"ipw","oracle",0.691781389933913,0.0293138372552656,0.0296631209282564
2000,80,0.25,1000001,1,0,"ipw","rc",0.680954762213587,0.0273649363036694,0.0279909577884885
2000,80,0.25,1000001,1,0,"ipw","mccs",0.711630259788636,0.0344512483355171,0.0353812147702883
2000,80,0.25,1000001,1,0,"dr","naive",0.61096339009077,0.0139594485202314,0.0139272010110308
2000,80,0.25,1000001,1,0,"dr","oracle",0.745575113703173,0.0151907033939216,0.0153304777998057
2000,80,0.25,1000001,1,0,"dr","rc",0.720261850769659,0.0165907432203057,0.0166007592742503
2000,80,0.25,1000001,1,0,"dr","mccs",0.762753038972289,0.0194549546080451,0.0196099782828148
2000,80,0.25,1000001,0,1,"gfmla","naive",0.611872136632738,0.0155337033924593,0.0155294716259197
2000,80,0.25,1000001,0,1,"gfmla","oracle",0.710776114582865,0.0168522501882941,0.0168957703010737
2000,80,0.25,1000001,0,1,"gfmla","rc",0.694494300149257,0.0179575735344168,0.0179884160816158
2000,80,0.25,1000001,0,1,"gfmla","mccs",0.709338953940641,0.0187920820077735,0.018807900496781
2000,80,0.25,1000001,0,1,"ipw","naive",0.592146394963251,0.0240118097358577,0.0241568150657192
2000,80,0.25,1000001,0,1,"ipw","oracle",0.649480752532196,0.0493963729060166,0.050342736988033
2000,80,0.25,1000001,0,1,"ipw","rc",0.695781133750371,0.0281771499993987,0.0284585260012436
2000,80,0.25,1000001,0,1,"ipw","mccs",0.740261888787583,0.031043751518106,0.0314032357802602
2000,80,0.25,1000001,0,1,"dr","naive",0.593082305298201,0.0225918934254176,0.022636448890731
2000,80,0.25,1000001,0,1,"dr","oracle",0.679305444266736,0.0389774326309372,0.0400864703312512
2000,80,0.25,1000001,0,1,"dr","rc",0.696102896352534,0.027319385210968,0.0274787967439437
2000,80,0.25,1000001,0,1,"dr","mccs",0.747009565489377,0.029289219907011,0.0294303009646912
2000,80,0.25,1000001,1,1,"gfmla","naive",0.611872136632738,0.0155337033924593,0.0155294716259197
2000,80,0.25,1000001,1,1,"gfmla","oracle",0.710776114582865,0.0168522501882941,0.0168957703010737
2000,80,0.25,1000001,1,1,"gfmla","rc",0.694494300149257,0.0179575735344168,0.0179884160816158
2000,80,0.25,1000001,1,1,"gfmla","mccs",0.709338953940641,0.0187920820077735,0.018807900496781
2000,80,0.25,1000001,1,1,"ipw","naive",0.59203714063661,0.0221520365133825,0.0224524092791695
2000,80,0.25,1000001,1,1,"ipw","oracle",0.691781389933913,0.0293138372552656,0.0296631209282564
2000,80,0.25,1000001,1,1,"ipw","rc",0.680954762213587,0.0273649363036694,0.0279909577884885
2000,80,0.25,1000001,1,1,"ipw","mccs",0.711630259788636,0.0344512483355171,0.0353812147702883
2000,80,0.25,1000001,1,1,"dr","naive",0.589219558773869,0.018959690009463,0.018743708564952
2000,80,0.25,1000001,1,1,"dr","oracle",0.709872876220636,0.0203780105671137,0.0205280169640855
